"","Bombus pascuorum","Apis mellifera","Bellardia vulgaris","Bombus lucorum","Episyrphus balteatus","Formica fusca","Unidentified sp22 M_PL_048","Bombus bohemicus","Lasioglossum fratellum","Syritta pipiens","Unidentified sp23 M_PL_048","Meliscaeva cinctella","Platycheirus cyaneus","Phyllopertha horticola","Bombus lapidarius","Coenonympha pamphilus","Helophilus pendulus","Meligethes aeneus","Phaonia angelicae","Scaeva selenitica","Syrphus torvus","Bombus jonellus","Eristalis lineata","Formica transkaucasica","Lasioglossum calceatum","Leptura melanura","Maniola jurtina","Miarus campanulae ","Sicus ferrugineus","Sphaerophoria sp2 M_PL_048","Unidentified sp15 M_PL_048","Cheilosia bergenstammi","Empis sp1 M_PL_048","Eriothrix rufomaculatus","Eristalis tenax","Inachis io","Melanotoma mellinum","Platycheirus peltatus","Pollenia rudis","Scatophaga stercoraria","Sciara sp1 M_PL_048","Sphaerophoria sp1 M_PL_048","Andrena sp1 M_PL_048","Aphanthopus hyperanthus","Bombus pratorum","Callophrys rubi","Chrysotoxum bicinctum","Coenosia means","Hercostomus sp1 M_PL_048","Lasioglossum leucozonium","Lasioglossum punctatissimum","Lasioglossum sp1 M_PL_048","Lycaena virgaureae","Macropis europaea","Myrmica ruginodis","Phaonia incana","Pieris napi","Prosena siberita","Rhagonycha fulva","Sarcophaga sp1 M_PL_048","Thymelicus lineola","Vespula vulgaris ","Volucella bombylans","Zygaena trifolii","Adscita statices","Andrena haemorrhoa","Andrena lapponica","Bibio lanigerus","Bombus sylvestris","Calameuta pallipes","Clossiana selene","Dolichovespula saxonica","Empis aestiva","Empis tessellata","Heterostylodes nominabilis ","Hylaeus confusus","Oedemera lurida","Parasyrphus lineola","Prosternon tessellatum","Sericomyia silentis","Sphaerophoria scripta","Unidentified sp11 M_PL_048","Unidentified sp6 M_PL_048","Vespula rufa","Anarta cordigera","Andrena fulva","Andrena praecox","Andrena tarsata","Bombus hypnorum","Bombus terrestris","Botanophila fugax","Bruchidius villosus","Cheilosia albipila","Cheilosia psilophthalma","Conops flavipes","Delia florilega","Dilophus febrilis","Dolichovespula sp1 M_PL_048","Dolichovespula sylvestris","Eristalinus sepulchralis","Formica rufa","Lasioglossum albipes","Lasioglossum leucopus","Lasius niger","Leucozona lucorum","Lucilia bufonivora","Mellinus arvensis","Micropterix aruncella","Mimesa equestris","Panurgus banksianus","Pipizella viduata","Polyommatus icarus ","Pyrgus malvae","Rhagonycha limbata","Rhingia campestris","Sarcophaga carnaria","Sepsis cynipsea","Sericomyia lappona","Sphecodes sp1 M_PL_048","Tachina grossa","Unidentified sp10 M_PL_048","Unidentified sp12 M_PL_048","Unidentified sp7 M_PL_048","Volucella pellucens","Adela cuprella","Alliopsis billbergi","Amauronematus sp1 M_PL_048","Anarta myrtilli","Anaspis frontalis","Andrena clarkella","Andrena fucata","Andrena fuscipes","Anoplius sp1 M_PL_048","Antherophagus nigrocornis","Aplotarsus incanus","Athous subfuscus","Autographa bractea","Barycnemis sp1 M_PL_048","Bibio sp1 M_PL_048","Bombus hortorum","Cantharis figurata","Cantharis nigricans","Cerceris arenaria","Cheilosia longula","Cheilosia pagana","Chrysomela collaris","Chrysomela populi","Coenosia femoralis","Coenosia tigrina","Colletes cunicularius","Colletes succinctus","Crambus lathoniellus","Cylindromyia brassicaria","Cynomya mortuorum","Dalopius marginatus","Dasytes plumbeus ","Delia diluta","Ectobius silvestris","Empis caudatula","Empis chioptera","Empis nuntia","Epirrhoetristata sp1 M_PL_048","Eristalis abusiva","Eristalis intricaria","Eristalis pertinax","Eristalis sp1 M_PL_048","Ernestia rudis","Eumenes pedunculatus","Eupeodes corollae ","Formica exsecta","Formica sanguinea","Gonia picea","Gymnosoma nudifrons","Halictus rubicundus","Helina reversio","Heterostylodes pratensis","Huebneria affinis","Hylaeus brevicornis","Hylaeus sp1 M_PL_048","Hypera meles","Lasioglossum quadrinotatum","Lasioglossum rufitarse","Lasioglossum villosulum","Lypha dubia","Megachile willughbiella","Melitta haemorrhoidalis","Mesapamea didyma","Microgaster sp1 M_PL_048","Morellia aenescens","Nemophora metallica","Nomada leucopthalma","Nomada rufipes","Oscinella vastator","Paragus haemorrhous","Paregle audacula","Phasia pusilla","Pieris rapae ","Pipiza lugubris","Platycheirus occultus","Platycheirus sp1 M_PL_048","Pollenia angustigena","Rhamphomyia nigripennis","Rhamphomyia sp1 M_PL_048","Rhinophora lepida","Sarcophaga lasiostyla","Sarcophaga subvicina","Scatophaga inquinata","Sciara hemerobioides","Siphona genuculata","Siphona pauciseta","Siphonella oscinina","Sphaerophoria batava","Sphaerophoria virgata","Tricholinum sp1 M_PL_048","Unidentified sp1 M_PL_048","Unidentified sp13 M_PL_048","Unidentified sp14 M_PL_048","Unidentified sp16 M_PL_048","Unidentified sp17 M_PL_048","Unidentified sp18 M_PL_048","Unidentified sp19 M_PL_048","Unidentified sp2 M_PL_048","Unidentified sp20 M_PL_048","Unidentified sp21 M_PL_048","Unidentified sp24 M_PL_048","Unidentified sp25 M_PL_048","Unidentified sp26 M_PL_048","Unidentified sp27 M_PL_048","Unidentified sp28 M_PL_048","Unidentified sp29 M_PL_048","Unidentified sp3 M_PL_048","Unidentified sp30 M_PL_048","Unidentified sp4 M_PL_048","Unidentified sp5 M_PL_048","Unidentified sp8 M_PL_048","Unidentified sp9 M_PL_048"
"Potentilla erecta",1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
"Salix repens",1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
"Calluna vulgaris",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Solidago virgaurea",1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hieracium umbellatum",1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arnica montana",1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Succisa pratensis",1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hypochoeris radicata",0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaccinium vitis-idaea",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Epilobium angustifolium",1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
