"","Episyrphus balteatus","Platycheirus cyaneus","Meligethes aeneus","Aphantopus hyperantus","Eristalis interrupta","Pieris napa","Bombus agrorum","Empis aestiva","Cateretes pedicularius","Bombus lucorum","Holoclera nigripennis","Rhingia campestris","Bombus pratorum","Bombus terestis","Empis rustica","Helophilus hybridus","Maniola jurtina","Melanostoma scalare","Sarcophaga sp1 M_PL_049","Cheilosia pagana","Empis albinervis","Helophilus pendulus","Neoascia podagrica","Platycheirus peltatus","Apis mellifera","Melanostoma mellinum","Melinda viridicyanea","Rhagonycha fulva","Syrphus ribesii","Unidentified sp36 M_PL_049","Chrysogaster solstitialis","Halictus quadrinotatus","Meligethes Coeruleovirens","Morellia aenescens","Onesia floralis","Phaonia incana","Sphaerophoria scripta","Sphaerophoria taenata","Syrphus vitripennis ","Thymelicus sylvestris","Unidentified sp10 M_PL_049","Unidentified sp26 M_PL_049","Xylota abiens","Anthobium minutum","Athalia lineolata","Brachicoma devia","Calocoris norvegicus","Chloromyia formosa ","Cynthia cardui","Dasyphora cyanicolor","Dasytes plumbeus ","Limnophora riparia","Lucilia silvarum","Myathropa florea","Neoascia obliqua","Neoascia tenur","Pollenia pediculata","Polyommatus icarus ","Strangalia melanura","Unidentified sp23 M_PL_049","Unidentified sp32 M_PL_049","Volucella pellucens","Aclonempis longipes","Alloestylus sudeticus","Anaspis frontalis","Apocrita sp1 M_PL_049","Athalia sp1 M_PL_049","Bombus hortorum","Bombus hypnorum","Calocoris sexguttatus","Cheilosia pubera","Chloropsis sp1 M_PL_049","Craspedochoeata sp1 M_PL_049","Delia sp1 M_PL_049","Discocerina obscurella","Empis nuntia","Empis pennipes","Eristalis intricaria","Eristalis pertinax","Fannia fuscula","Halictus leucopus","Hercostomus germanus","Hercostomus nigripennis","Limnophora triangular","Lygus lucorum","Macropis labiata","Melinda gentilis","Oscinella vastator","Sepsis cynipsea","Stenocorus meridianus","Stenotus binotatus","Strangalia Quadrifasciata","Syritta pipiens","Unidentified sp15 M_PL_049","Unidentified sp2 M_PL_049","Unidentified sp20 M_PL_049","Unidentified sp38 M_PL_049","Unidentified sp39 M_PL_049","Unidentified sp40 M_PL_049","Unidentified sp8 M_PL_049","Alliopsis sp1 M_PL_049","Alliopsis sp2 M_PL_049","Alliopsis sp3 M_PL_049","Anaspis rufilabris ","Anthobium ophthalmicum","Anthobium torquratum","Apion apricans","Apion flavipes","Azelia triquetra","Bombylius major","Calameuta filiformis","Cetonia aurata","Cheilosia nigripes","Cheilosia proxima","Cheilosia variabilis","Chloropis sp1 M_PL_049","Chrysops pictus","Chrysotoxum bicinetum","Conioscinella frontella","Crossocerus affinis","Delia sp2 M_PL_049","Delia sp3 M_PL_049","Delia sp4 M_PL_049","Egle sp1 M_PL_049","Empis nigripes","Fannia pallitibia","Fannia polycheta","Fannia rondanii","Fannia sp1 M_PL_049","Gastroidea viridula","Gorytes Campestris","Grammoptra ruficornis","Graphomya maculata","Graphomya picta","Gymnetron veronicae","Hadrodemus m-flavum","Haematopota pluvialis","Halictus calceatus","Helophilus trivittatus","Heteronychia haemorrhoa","Heteronychia vagens","Hilara brevistyla","Hilarella stictica","Hydrothassa marginella","Hylemya sp1 M_PL_049","Hylemya sp2 M_PL_049","Hylemya sp3 M_PL_049","Hylotoma ciliaris","Inachis io","Ischyrosyrphys laternarius","Judolia cerambyciformis","Laria loti","Leptopterna dolabrata","Limnobaris T-album","Liriomyza sp1 M_PL_049","Lophosceles Cinereiventris","Lucilia caesar","Lucilia sericata ","Meliscaeva cinectella","Morellis simplex","Nabis ferus","Ochlodes venata ","Onesia sp1 M_PL_049","Orthelia caesarion","Orthops kalmi","Oscinella hortensis","Parasyrphus lineola","Parhelophilus versicolor","Phaonia exoleta","Phorbia sp1 M_PL_049","Phorbia sp2 M_PL_049","Phorbia sp3 M_PL_049","Phyllobius urticae","Picromerus bidens","Platycheirus scutatus","Platycherius sp1 M_PL_049","Poletes steini","Pollenia rudis","Prosopis communis","Pseudonapomyza sp1 M_PL_049","Pyrophaena rosarum","Rhamphomyia hirtula","Rhinoncus perpendicularis","Saldula sp1 M_PL_049","Senotainia conica","Sepsis flavimana","Sepsis fulgens","Sphegina sp1 M_PL_049","Stratiomya potamidao","Strophosomus melanogrammus","Tachinus fimetarius","Tetanocera silvatica","Thrypticus bellus","Tricimba cincta","Tropidia scita","Unidentified sp1 M_PL_049","Unidentified sp11 M_PL_049","Unidentified sp12 M_PL_049","Unidentified sp13 M_PL_049","Unidentified sp14 M_PL_049","Unidentified sp16 M_PL_049","Unidentified sp17 M_PL_049","Unidentified sp18 M_PL_049","Unidentified sp19 M_PL_049","Unidentified sp21 M_PL_049","Unidentified sp22 M_PL_049","Unidentified sp24 M_PL_049","Unidentified sp25 M_PL_049","Unidentified sp27 M_PL_049","Unidentified sp28 M_PL_049","Unidentified sp29 M_PL_049","Unidentified sp3 M_PL_049","Unidentified sp30 M_PL_049","Unidentified sp31 M_PL_049","Unidentified sp33 M_PL_049","Unidentified sp34 M_PL_049","Unidentified sp35 M_PL_049","Unidentified sp37 M_PL_049","Unidentified sp4 M_PL_049","Unidentified sp5 M_PL_049","Unidentified sp6 M_PL_049","Unidentified sp7 M_PL_049","Unidentified sp9 M_PL_049","Vespa holsatica","Wahlgrenia magnicornis"
"Angelica sylvestris",1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Pimpinella major",1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Filipendula ulmaria",1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cirsium oleraceum",1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Centaurea jacea",1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cirsium vulgare",1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polygonum amphibium",1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stellaria graminea",0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mentha aquatica",1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
"Valeriana officinalis",1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
