"","Policana albopilosa","Bombus dahlbomii","Ruizantheda mutabilis","Trichophthalma amoena","Bombus ruderatus","Colletes seminitidus","Syrphus octomaculatus","Manuelia gayi","Allograpta hortensis","Trichophthalma jaffueli","Anthaxia sp1 M_PL_051","Caenohalictus sp1 M_PL_051","Phthiria sp1 M_PL_051","Platycheirus sp1 M_PL_051","Manuelia postica","Heterosarus sp1 M_PL_051","Sapromyza fulvicornis","Camponotus sp1 M_PL_051","Unidentified sp1 M_PL_051","Unidentified sp2 M_PL_051","Unidentified sp3 M_PL_051","Megachile sp1 M_PL_051","Unidentified sp4 M_PL_051","Unidentified sp5 M_PL_051","Unidentified sp6 M_PL_051","Chalepogenus caeruleus","Vespula germanica","Unidentified sp7 M_PL_051","Ocyptamus melanorrhinus","Phthiria sp2 M_PL_051","Unidentified sp8 M_PL_051","Unidentified sp9 M_PL_051","Ruizantheda nigrocaerulea","Svastrides melanura","Chilicola sp1 M_PL_051","Evylaeus sp1 M_PL_051","Unidentified sp10 M_PL_051","Corynura prothysteres","Megachile sp2 M_PL_051","Unidentified sp11 M_PL_051","Sephanoides galeritus","Unidentified sp12 M_PL_051","Ruizantheda proxima","Unidentified sp13 M_PL_051","Unidentified sp14 M_PL_051","Platycherius fenestratus","Scaeva melanostoma","Unidentified sp15 M_PL_051","Unidentified sp16 M_PL_051","Unidentified sp17 M_PL_051","Unidentified sp18 M_PL_051","Unidentified sp19 M_PL_051","Unidentified sp20 M_PL_051","Unidentified sp21 M_PL_051","Chilicola sp2 M_PL_051","Unidentified sp22 M_PL_051","Unidentified sp23 M_PL_051","Unidentified sp24 M_PL_051","Unidentified sp25 M_PL_051","Unidentified sp26 M_PL_051","Unidentified sp27 M_PL_051","Unidentified sp28 M_PL_051","Unidentified sp29 M_PL_051","Allograpta exotica","Caenohalictus sp2 M_PL_051","Chilicola sp3 M_PL_051","Corynura sp1 M_PL_051","Unidentified sp30 M_PL_051","Unidentified sp31 M_PL_051","Unidentified sp32 M_PL_051","Unidentified sp33 M_PL_051","Unidentified sp34 M_PL_051","Unidentified sp35 M_PL_051","Unidentified sp36 M_PL_051","Unidentified sp37 M_PL_051","Unidentified sp38 M_PL_051","Unidentified sp39 M_PL_051","Unidentified sp40 M_PL_051","Unidentified sp41 M_PL_051","Unidentified sp42 M_PL_051","Unidentified sp43 M_PL_051","Unidentified sp44 M_PL_051","Unidentified sp45 M_PL_051","Unidentified sp46 M_PL_051","Unidentified sp47 M_PL_051","Unidentified sp48 M_PL_051","Unidentified sp49 M_PL_051","Unidentified sp50 M_PL_051","Unidentified sp51 M_PL_051","Unidentified sp52 M_PL_051"
"Aristotelia chilensis",1069,0,172,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alstroemeria aurea",0,583,17,0,173,0,28,101,7,69,40,0,39,2,11,22,11,0,0,2,11,17,0,0,0,0,8,0,8,11,0,0,5,8,7,6,6,3,6,5,1,5,4,0,4,0,0,0,3,0,0,0,0,0,2,1,0,2,0,1,2,0,2,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1
"Schinus patagonicus",690,16,240,3,0,0,49,0,43,0,0,0,0,16,12,0,0,27,0,0,1,0,15,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,3,3,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"Berberis darwinii",0,265,9,108,0,77,5,1,9,0,0,48,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vicia nigricans",0,469,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rosa eglanteria",0,24,10,0,0,0,34,0,33,1,0,0,1,10,0,0,11,0,0,3,7,0,0,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Digitalis purpurea",0,66,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cynanchum diemii",0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,19,8,0,0,0,0,15,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Ribes magellanicum",0,0,0,70,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Berberis buxifolia",0,2,0,75,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
