"","Nysius groenlandicus","Spilogona sanctpauli","Eupeodes curtus","Eupeodes luniger","Smittia sp1 M_PL_052","Sphaerophoria scripta","Delia platura ","Eupithesia sobrinata","Phaonia pallidisquama","Syngrapha borea","Aedes nigripes","Delia fabricii","Dolichopus groenlandicus","Helophilus borealis","Helophilus groenlandicus","Lasiestra leucocycla","Nowickia sp1 M_PL_052","Ramphomyia nigrita","Thysanoptera sp1 M_PL_052","Aedes impiger","Botanophila profuga","Bradysia sp1 M_PL_052","Clossiana chariclea","Colias hecla","Dasyhelea sp1 M_PL_052","Drymeia groenlandica","Eurois occulta","Forcipomyia sp1 M_PL_052","Oedemagena tarandi","Paregle audacula","Pegoplata tundrica","Periscepsia stylata","Platycheirus hyperboreus","Platycheirus lundbecki","Platycheirus varipes","Stenomacrus sp1 M_PL_052","Syngrapha u-aureum","Unidentified sp1 M_PL_052","Unidentified sp2 M_PL_052"
"Salix glauca",1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
"Epilobium latifolium",1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"Cerastium alpinum",0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
"Ledum palustre",1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Dryas integrifolia",0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Saxifraga triscupidata",1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Polygonum viviparum",0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyrola grandiflora",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Papaver radicatum",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Pedicularis lapponica",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campanula gieseckiana",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhododendron lapponicum",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stellaria longiceps",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tofieldia pusilla",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaccinium uliginosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
