"","Stomorhina obsoleta ","Rhinotropidia rostrata","Sphaerophoria macrogaster ","Helina sp1 M_PL_055","Eristalis kyokoae","Hylaeus macilentus","Hylaeus noomen","Melanostoma mellinum","Parnara guttata guttata ","Lasioglossum sibiriacum","Agathis sp1 M_PL_055","Phytomia zonata ","Unidentified sp1 M_PL_055","Apis cerana ","Dolichopus nitidus","Eristalis cerealis ","Nysius plebeius","Ceratina japonica ","Homoneura extera","Episyrphus balteatus","Hylaeus floralis ","Ravinia striata","Calomicrus sp1 M_PL_055","Limnophora promineus","Petaphora maritima","Unidentified sp2 M_PL_055","Hymerria recurvalis","Platycheirus pennipes","Unidentified sp3 M_PL_055","Bombus diversus","Lasioglossum percrassicepes","Mesembrius flaviceps","Unidentified sp4 M_PL_055","Unidentified sp5 M_PL_055","Andrena Knuthi","Chaetocnema bicolorata","Helophilus virgatus ","Oxycetonia jucunda ","Polistes chinensis antennalis","Unidentified sp6 M_PL_055","Eumenes samurai","Lucilia papuensis","Melanostoma scalare","Tropidothorax cruciger","Apis mellifera","Cyphon sp1 M_PL_055","Dotichopus nitidus","Eurydema rugosum","Limnia sp1 M_PL_055","Limnophora sp1 M_PL_055","Lygocoris pallens","Megachile nipponica ","Paragus kaemorrhous","Unidentified sp7 M_PL_055","Argynnis paphia tsushimana","Athemus lineatipennis","Bagous sp1 M_PL_055","Ceratina flavipes ","Cheilosia sp1 M_PL_055","Chrysomya pinguis ","Dolichopus sp1 M_PL_055","Eristalinus viridis ","Graphomyia rufitibia","Helina sp2 M_PL_055","Hetophilus virgatus","Lasioglossum exiliceps","Lasioglossum japonicum","Limnophora sp2 M_PL_055","Lucilia caesar","Masicera sp1 M_PL_055","Megachile tsurugensis ","Nomada nipponica","Papilio helenus nicconicolens","Pelopidas mathias oberthueri ","Rhamphomyia latistriata","Unidentified sp8 M_PL_055","Aldrichina grahami","Allograpta javana ","Colletes patellatus","Conocephalus japonicus","Cryptophilus sp1 M_PL_055","Diasemia litterata","Donacia provostii","Drosophila sp1 M_PL_055","Echinomyia mikado","Eudorilas cruciator","Haplothrips sp1 M_PL_055","Helina sp3 M_PL_055","Lagidina ptatyeerus","Lasioglossum affine","Lasioglossum mutilum ","Limnophora sp3 M_PL_055","Megachite tsurugensis","Paragus jozanus ","Phaonia sp1 M_PL_055","Pipiza lugubrius","Polymerus pekinensis","Polytremis pellucida pellucida","Scotinophara lurida","Thelaira nigripes","Unidentified sp10 M_PL_055","Unidentified sp11 M_PL_055","Unidentified sp12 M_PL_055","Unidentified sp13 M_PL_055","Unidentified sp14 M_PL_055","Unidentified sp15 M_PL_055","Unidentified sp16 M_PL_055","Unidentified sp17 M_PL_055","Unidentified sp9 M_PL_055","Xylocopa appendicutata","Adomerus biguttulus","Andrena japonicum","Andrena munutula","Anoptius eous","Arge nipponensis ","Bagous sp2 M_PL_055","Bombus hypocrita","Brontaea sp1 M_PL_055","Campsomeris grossa","Ceratina esakii ","Cheitosia sp1 M_PL_055","Chelonus sp1 M_PL_055","Coptosoma parvipictum","Cottetes palellatus","Cyphononyx dorsalis ","Dasyphora sp1 M_PL_055","Dienerella sp1 M_PL_055","Dienerella sp2 M_PL_055","Dolycoris bacculum","Drosophila sp2 M_PL_055","Epistrophe sp1 M_PL_055","Eristatinus viridis","Eumenes micado","Eurema hecabe ","Eutachina sp1 M_PL_055","Everes argiades hellotia","Gymnosoma sp1 M_PL_055","Helina sp4 M_PL_055","Homoneura sp1 M_PL_055","Homoneura sp2 M_PL_055","Hydrometra procera","Involvutus ilosus","Ischnura asiatica","Larra sp1 M_PL_055","Lasioglossum allodalum","Lasioglossum gorkiense","Lasioglossum scitulum ","Limnophora sp4 M_PL_055","Limnophora sp5 M_PL_055","Limnophora sp6 M_PL_055","Lispe sp1 M_PL_055","Lycaena phlaeas daimio","Matachius prolongatus","Megachite nipponica","Microdon japonicus","Monolepta fulvicollis","Nomada fukuiana","Ochtera mantis","Odontobracon sp1 M_PL_055","Oreumenes decoratus","Orthopagus lunutiper","Osmia taurus ","Oulema erichsoni","Paragus haemorrhous","Paragus quadrifasciatus","Phaenicia sericata","Phaonia sp2 M_PL_055","Phaonia sp3 M_PL_055","Phynocoris ornatus","Phytobius sp1 M_PL_055","Piocoris varius","Propylea japonica","Psen sp1 M_PL_055","Pteronemobius csikii","Rhopalus maculatus","Scymnus hoffmanni","Scymnus jamato","Servillia jokovlewii","Stenodynerus sp1 M_PL_055","Stratiomys sp1 M_PL_055","Thelaira sp1 M_PL_055","Thoressa varia","Tipula patagiata","Tropidothorax belogolowi ","Unidentified sp18 M_PL_055","Unidentified sp19 M_PL_055","Unidentified sp20 M_PL_055","Unidentified sp21 M_PL_055","Unidentified sp22 M_PL_055","Unidentified sp23 M_PL_055","Vespa simiUima xanthoptera","Vespula tewisii","Vespula vulgaris ","Xylocopa appendiculata","Ypthima argus "
"Persicaria thunbergii",7,2,1,0,21,0,1,0,3,0,7,8,0,7,6,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,3,0,1,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Eupatorium lindleyanum",35,0,0,0,0,0,1,0,0,0,0,3,1,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"Persicaria sieboldi",12,3,0,0,4,0,0,0,0,0,9,0,0,4,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eusteratis yatabeana",5,10,0,0,2,1,0,0,4,0,0,2,1,0,4,1,0,0,0,0,0,6,0,0,3,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senecio pierotii",0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prenanthes tanakae",23,0,0,0,0,0,0,0,3,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Galium trifidum",0,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iris taevigata",0,3,0,0,0,8,0,0,0,7,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Sagittaria trifolia",0,8,1,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mosta dianthera",0,2,6,0,0,0,1,0,0,1,0,0,0,1,0,0,3,0,0,1,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
