"","Andrena sp1 M_PL_058","Apis mellifera","Mordellistena pumila","Oedemera lurida","Oxythyrea funesta ","Anthidium sticticum","Psilothrix sp1 M_PL_058","Unidentified sp35 M_PL_058","Bombus terrestris","Oedemera flavipes","Myrabilis quadripunctata","Lasioglossum sp1 M_PL_058","Mordella bipunctata","Halictus gemmeus","Unidentified sp38 M_PL_058","Criptocephalus sp1 M_PL_058","Unidentified sp43 M_PL_058","Xylocopa sp1 M_PL_058","Halictus pyrenaicus","Colletes sp1 M_PL_058","Amegilla femorata","Megachile sp2 M_PL_058","Plagiolepsis pigmaea","Anthidium sp1 M_PL_058","Oedemera nobilis","Halictus sp1 M_PL_058","Osmia sp1 M_PL_058","Oedemera barbara","Camponotus aethiops","Hylaeus sp2 M_PL_058","Trichodes apiarius","Nomada sp1 M_PL_058","Polistes gallicum","Unidentified sp37 M_PL_058","Unidentified sp41 M_PL_058","Conophorus virescens","Scolia sp1 M_PL_058","Unidentified sp46 M_PL_058","Halyctus sp1 M_PL_058","Hylaeus nigritus","Sphaerophoria sp1 M_PL_058","Unidentified sp42 M_PL_058","Callophrys rubi","Sphecodes sp1 M_PL_058","Anthophora sp1 M_PL_058","Ceratina cucurbitina","Unidentified sp39 M_PL_058","Unidentified sp53 M_PL_058","Unidentified sp61 M_PL_058","Unidentified sp64 M_PL_058","Unidentified sp40 M_PL_058","Unidentified sp45 M_PL_058","Unidentified sp49 M_PL_058","Unidentified sp62 M_PL_058","Vanesa atlantica","Zygaena sp1 M_PL_058","Cerceris sp1 M_PL_058","Eucera sp1 M_PL_058","Helorus coruscus","Hylaeus variegatus","Lassiopogon sp1 M_PL_058","Megachile sp1 M_PL_058","Papilion machaon","Pieris rapae ","Pyronia tithonus ","Stenopterus rufus","Unidentified sp36 M_PL_058","Unidentified sp44 M_PL_058","Unidentified sp47 M_PL_058","Unidentified sp48 M_PL_058","Unidentified sp50 M_PL_058","Unidentified sp51 M_PL_058","Unidentified sp52 M_PL_058","Unidentified sp54 M_PL_058","Unidentified sp55 M_PL_058","Unidentified sp56 M_PL_058","Unidentified sp57 M_PL_058","Unidentified sp58 M_PL_058","Unidentified sp59 M_PL_058","Unidentified sp60 M_PL_058","Unidentified sp63 M_PL_058"
"Daucus carota carota",10,1,44,3,0,0,1,29,0,3,3,3,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"Sonchus tenerrinus",51,9,0,9,2,1,10,1,1,4,2,7,2,2,0,6,0,0,4,1,0,0,0,0,0,0,0,5,0,3,1,3,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Carpobrotus sp1 M_PL_058",4,7,7,21,20,5,22,1,14,3,0,0,1,0,8,3,0,0,0,0,0,1,2,0,2,1,2,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"Opuntia stricta",1,33,3,0,6,2,0,4,18,2,20,3,2,0,0,0,0,15,5,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cistus monspeliensis",19,2,3,34,14,2,1,0,0,1,1,5,0,0,1,0,6,0,1,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lavandula stoechas",3,20,0,0,1,31,0,0,0,0,0,3,0,0,0,0,3,0,0,0,8,8,0,1,0,3,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,1,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Cistus salvifolius",17,2,3,3,14,0,7,2,0,1,0,0,0,0,7,0,1,0,0,0,1,0,4,0,4,0,1,0,0,0,0,0,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cistus albidus",15,4,0,6,6,8,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Urospermum picrioides",13,0,6,6,1,0,1,0,0,3,1,1,0,0,0,3,0,0,3,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rosmarinus officinalis",1,16,0,0,1,3,0,0,0,0,0,1,0,0,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
