"","Centris aenea","Centris fuscata","Centris caxiensis","Centris tarsata","Centris flavifrons","Centris trigonoides","Centris obsoleta","Epicharis sp1 M_PL_059","Apis mellifera","Centris sp1 M_PL_059","Centris sp2 M_PL_059","Xylocopa sp1 M_PL_059","Xylocopa grisescens"
"Diplopterys pubipetala",1368,1364,740,460,416,256,0,328,364,368,0,0,0
"Byrsonima gardnerana",924,320,2108,464,284,0,0,0,28,0,0,0,0
"Banisteriopsis muricata",396,468,108,140,272,652,912,364,44,0,368,164,84
"Heteropterys sp1 M_PL_059",764,680,528,308,404,300,0,28,0,0,0,76,0
"Heteropterys sp2 M_PL_059",740,656,528,332,0,324,0,116,116,0,0,0,0
"Dicella bracteosa",556,512,356,132,524,0,0,0,0,0,0,0,0
"Carolus chasei",604,452,432,200,0,0,0,0,0,0,0,0,0
"Stigmaphyllon paralias",504,816,0,0,0,0,0,0,0,0,0,0,0
"Banisteriopsis stellaris",292,300,244,116,0,0,0,0,0,0,0,0,0
"Banisteriopsis schizoptera",228,224,124,120,0,0,0,0,0,0,0,0,0
"Stigmaphyllon auriculatum",240,164,68,0,196,0,0,0,0,0,0,0,0
"Stigmaphyllon ciliatum",268,196,0,0,164,0,0,0,0,0,0,0,0
"Janusia anisandra",188,244,0,96,0,0,0,0,0,0,0,0,0
