"","Pachycerina crinicornis ","Melanostoma annulipes","Apis mellifera","Stomorhina lunata","Musca domestica","Stomoxys niger","Fannia pusio ","Stomoxys calcitrans","Brachymyrmex sp1 M_PL_060","Nacoleia sp1 M_PL_060","Technomyrmex albipes ","Zosterops mauritianus","Chrysomya megacephala ","Henotesia narcissus","Miridae sp1 M_PL_060","Nyctemera insulare","Orthellia albigena ","Ceratitis roas","Chaetocnema sp1 M_PL_060","Homoneura quadrivittata ","Lygistorrhina sp1 M_PL_060","Ophyra capensis ","Orchisia costata ","Chironomidae sp1 M_PL_060","Cicadellidae sp1 M_PL_060","Dysauxes florida","Episyrphus sp1 M_PL_060","Eristalinus flaveolus","Ischiodon aegyptius ","Limnophora quaterna ","Ornidia obesa","Pelecophora intemipta","Psyllidae sp1 M_PL_060","Sapromyza sp1 M_PL_060","Scirtidae sp1 M_PL_060","Scirtidae sp2 M_PL_060","Syritta nigrofemorata","Tarundia servillei","Tettigoniidae sp1 M_PL_060"
"Sideroxylon cinereum",7,2,31,1,2,3,9,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Geniostoma borbonicum",15,1,0,0,2,8,3,0,0,4,0,0,0,0,0,2,2,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"Croton fothergillifolius",15,1,0,7,9,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0
"Aphloia theiformis",2,9,0,1,8,5,1,3,0,1,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Psiadia terebinthina",1,5,0,11,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erythroxylum macrocarpum",0,4,0,2,2,1,0,6,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Toddalia asiatica",4,2,0,5,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Molinaea alternifolia",0,1,0,0,0,0,0,0,10,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Claoxylon linostachys",1,7,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antirhea borbonica",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roussea simplex ",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
