"","Stomorhina lunata","Apis mellifera","Pachycerina crinicornis ","Melanostoma annulipes","Chrysomya megacephala ","Stomoxys niger","Henotesia narcissus","Stomoxys calcitrans","Fannia pusio ","Brachymyrmex sp1 M_PL_061","Musca domestica","Chaetocnema sp1 M_PL_061","Phorinia sp1 M_PL_061","Allograpta nasuta","Technomyrmex albipes ","Zosterops mauritianus","Eristalinus flaveolus","Polistes hebraeus","Psilopa iceryae ","Leptotes pirithous","Allograpta sp1 M_PL_061","Melanagromyza sojae ","Nacoleia sp1 M_PL_061","Lygistorrhina sp1 M_PL_061","Sarcophaga arno ","Acopsis viridicans","Atherigona sp1 M_PL_061","Dasytinae sp1 M_PL_061","Dysauxes florida","Episyrphus sp1 M_PL_061","Homoneura sp1 M_PL_061","Nacoleia sp2 M_PL_061","Orthellia albigena ","Paragus borbonicus","Pelecophora intemipta","Sapromyza sp1 M_PL_061","Sepsis lateralis ","Unidentified sp1 M_PL_061"
"Toddalia asiatica",60,0,27,5,13,0,1,0,7,0,2,1,9,0,1,0,1,0,8,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Aphloia theiformis",15,45,1,10,2,1,1,3,1,0,0,0,2,1,4,2,4,0,0,1,4,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"Geniostoma borbonicum",25,4,10,10,7,13,1,4,2,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
"Sideroxylon cinereum",7,38,8,0,3,3,1,0,1,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Roussea simplex ",0,6,6,0,0,0,14,0,1,4,1,0,0,7,0,3,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psiadia terebinthina",14,3,0,3,1,0,0,6,1,0,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Croton fothergillifolius",8,1,0,0,5,1,0,3,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Erythroxylum macrocarpum",0,0,2,3,0,1,0,0,0,8,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Claoxylon linostachys",0,0,0,4,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antirhea borbonica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dodonaea viscosa ",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Molinaea alternifolia",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
