"","Stomorhina lunata","Pachycerina crinicornis ","Apis mellifera","Brachymyrmex sp1 M_PL_062","Fannia pusio ","Technomyrmex albipes ","Chaetocnema sp1 M_PL_062","Chrysomya megacephala ","Eristalinus flaveolus","Musca domestica","Allograpta nasuta","Syritta nigrofemorata","Phorinia sp1 M_PL_062","Leptotes pirithous","Lygaeidae sp1 M_PL_062","Lygistorrhina sp1 M_PL_062","Nacoleia sp1 M_PL_062","Polistes hebraeus","Psilopa iceryae ","Diptera sp1 M_PL_062","Paragus borbonicus","Stomoxys niger","Episyrphus sp1 M_PL_062","Unidentified sp7 M_PL_062","Graphomya maculata","Sepsis lateralis ","Acalyptrate sp1 M_PL_062","Homoneura sp1 M_PL_062","Limnophora quaterna ","Pelecophora intemipta","Stomoxys calcitrans","Villa unifasciata","Zosterops mauritianus","Dioxyna sororcula ","Henotesia narcissus","Phelsuma cepediana","Pteromalidae sp1 M_PL_062","Tarundia servillei","Cheloninae sp1 M_PL_062","Hyadina sp1 M_PL_062","Ischiodon aegyptius ","Mauritiborium undulatus ","Panara naso","Pterophoridae sp1 M_PL_062","Sarcophaga arno "
"Toddalia asiatica",23,57,0,3,5,11,0,1,1,2,1,3,7,1,0,0,0,0,8,0,0,1,0,0,0,4,0,0,0,3,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0
"Molinaea alternifolia",19,2,18,11,30,7,0,6,2,2,0,0,0,3,0,0,5,0,0,0,5,3,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aphloia theiformis",23,2,46,13,0,0,0,0,6,0,1,2,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psiadia terebinthina",23,2,8,22,0,0,0,2,2,1,2,3,3,0,8,0,0,1,0,0,1,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Stillingia lineata",0,15,0,1,7,3,11,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
"Croton fothergillifolius",8,9,0,1,0,0,7,2,1,7,0,1,0,2,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Roussea simplex ",0,6,12,4,1,0,0,0,0,1,7,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
"Erythroxylum macrocarpum",7,1,0,0,0,0,1,2,3,0,2,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Chassalia coriacea",3,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
"Bertiera zaluzania ",1,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dodonaea viscosa ",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antirhea borbonica",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Claoxylon linostachys",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
