"","Stomorhina lunata","Technomyrmex albipes ","Brachymyrmex sp1 M_PL_063","Apis mellifera","Pachycerina crinicornis ","Musca domestica","Fannia pusio ","Chaetocnema sp1 M_PL_063","Ophyra capensis ","Panara naso","Polistes hebraeus","Allograpta nasuta","Lygistorrhina sp1 M_PL_063","Stomoxys calcitrans","Ischiodon aegyptius ","Nacoleia sp1 M_PL_063","Chrysomya megacephala ","Dioxyna sororcula ","Eristalinus flaveolus","Melanostoma bituberculatum ","Phelsuma cepediana","Phorinia sp1 M_PL_063","Sarcophaga arno ","Cephonodes trochilus","Ornidia obesa","Graphomya maculata","Lecithoceridae sp1 M_PL_063","Nacoleia sp2 M_PL_063","Psilopa iceryae ","Syritta nigrofemorata","Syritta sp1 M_PL_063","Cryptinae sp1 M_PL_063","Dysauxes florida","Episyrphus sp1 M_PL_063","Homoneura sp1 M_PL_063","Hydrillodes sp1 M_PL_063","Leptotes pirithous","Macroglossum milvus","Mauritiborium undulatus ","Orthellia albigena ","Remigia frugalis ","Scatopsidae sp1 M_PL_063","Stomoxys niger","Tarundia servillei","Trichoplusia indicator ","Zosterops mauritianus"
"Sideroxylon cinereum",28,0,0,14,0,3,15,0,6,0,0,0,7,3,3,0,7,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Molinaea alternifolia",13,9,0,0,14,5,2,0,8,0,0,0,0,3,0,3,0,1,1,6,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Aphloia theiformis",29,2,2,6,1,12,0,0,0,2,4,0,0,0,1,0,0,0,2,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Croton fothergillifolius",13,8,7,0,3,1,0,0,0,0,0,2,0,1,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Syzygium venosum",3,0,20,4,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roussea simplex ",0,20,0,4,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stillingia lineata",0,0,2,0,4,0,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Dracaena reflexa",7,0,0,2,1,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Bertiera zaluzania ",0,2,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Coffea mauritiana",0,1,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Chassalia coriacea",2,0,0,0,0,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Claoxylon linostachys",0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psiadia terebinthina",2,0,0,1,1,1,0,3,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antidesma madagascariense",1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Antirhea borbonica",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Toddalia asiatica",0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erythroxylum macrocarpum",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pandanus wiehii",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agauria salicifolia",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flagellaria indica",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polyscias mauritiana",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
