"","Apis mellifera","Nacoleia sp1 M_PL_064","Pachycerina crinicornis ","Technomyrmex albipes ","Brachymyrmex sp1 M_PL_064","Stomorhina lunata","Chaetocnema sp1 M_PL_064","Lygistorrhina sp1 M_PL_064","Chrysomya megacephala ","Panara naso","Psilopa iceryae ","Lygaeidae sp1 M_PL_064","Ornidia obesa","Sapromyza sp1 M_PL_064","Zosterops mauritianus","Drosophila sp1 M_PL_064","Eristalinus flaveolus","Musca domestica","Polistes hebraeus","Stomoxys calcitrans","Ahasverus advena ","Allograpta nasuta","Nacoleia sp2 M_PL_064","Paragus borbonicus","Pelecophora intemipta","Acopsis viridicans","Dysauxes florida","Eilema squalida","Lecithoceridae sp1 M_PL_064","Mauritiborium undulatus ","Pheidole megacephala","Bactrocera cucurbitae","Calcidoidae sp1 M_PL_064","Condica capensis","Dioxyna sororcula ","Episyrphus sp1 M_PL_064","Eumolpinae sp1 M_PL_064","Fannia pusio ","Henotesia narcissus","Homoneura sp1 M_PL_064","Ischiodon aegyptius ","Lecithoceridae sp2 M_PL_064","Limoniidae sp1 M_PL_064","Melanostoma bituberculatum ","Miridae sp1 M_PL_064","Mythimna sp1 M_PL_064","Orthellia albigena ","Psyllidae sp1 M_PL_064","Sarcophaga arno ","Spilogona sp1 M_PL_064","Stomoxys niger","Syritta sp1 M_PL_064","Trichoplusia indicator ","Zaprionus vittiger"
"Sideroxylon puberulum",43,1,2,6,0,12,0,8,4,0,0,0,2,0,3,0,1,4,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"Psiadia terebinthina",0,3,3,0,8,3,1,1,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aphloia theiformis",1,11,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coffea mauritiana",0,3,5,4,0,1,2,1,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polyscias mauritiana",0,0,14,0,0,1,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Dracaena reflexa",3,0,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Claoxylon linostachys",0,0,0,0,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bertiera zaluzania ",10,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pittosporum senacia",0,10,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coffea macrocarpa",0,6,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Antirhea borbonica",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stillingia lineata",0,0,3,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doratoxylon apetalum",0,0,0,7,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mimusops erythroxylon",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Phyllanthus phillyreifolius",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antidesma madagascariense",0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Croton fothergillifolius",0,1,3,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grangeria borbonica",2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
