"","Nacoleia sp3 M_PL_065","Apis mellifera","Technomyrmex albipes ","Brachymyrmex sp2 M_PL_065","Pheidole megacephala","Pachycerina crinicornis ","Stomorhina lunata","Psilopa iceryae ","Allograpta nasuta","Chaetocnema sp2 M_PL_065","Nacoleia sp4 M_PL_065","Melanostoma bituberculatum ","Mordellidae sp1 M_PL_065","Paragus borbonicus","Lygistorrhina sp2 M_PL_065","Panara naso","Zosterops mauritianus","Ahasverus advena ","Chrysomya megacephala ","Drosophila sp2 M_PL_065","Eilema squalida","Gelechioidea sp1 M_PL_065","Ischiodon aegyptius ","Polistes hebraeus","Scopariinae sp1 M_PL_065","Trichoplusia indicator ","Achaea finita","Acopsis viridicans","Aganais borbonica","Agrostis atritegulator","Campopleginae sp1 M_PL_065","Cephonodes trochilus","Cerambycidae sp1 M_PL_065","Eristalinus flaveolus","Foudia madagascariense","Hippotion eson","Limonia sp1 M_PL_065","Lygaeidae sp2 M_PL_065","Mordellidae sp2 M_PL_065","Ornidia obesa","Peribaea sp1 M_PL_065","Phelsuma cepediana","Pycnonotus jocosus","Spodoptera littoralis","Tarundia servillei"
"Coffea macrocarpa",34,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sideroxylon puberulum",2,18,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,2,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0
"Phyllanthus phillyreifolius",0,0,17,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Badula platiphylla",0,0,0,15,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Coffea mauritiana",6,8,6,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Warneckea trinervis",0,12,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Antirhea borbonica",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grangeria borbonica",5,11,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Helichrysum proteoides",0,0,0,1,0,7,0,5,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mimusops erythroxylon",6,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Aphloia theiformis",0,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agauria salicifolia",8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psiadia terebinthina",0,2,0,0,0,0,1,0,2,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bertiera zaluzania ",0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Gaertnera rotundifolia",3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Stillingia lineata",0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Faujasiopsis flexuosa",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Olea lancea",0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cordemoya integrifolia",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euodia chapelieri",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
