"","Apis mellifera","Nacoleia sp1 M_PL_067","Technomyrmex albipes ","Villa unifasciata","Phorinia sp1 M_PL_067","Paragus borbonicus","Pachycerina crinicornis ","Phelsuma cepediana","Chrysomya megacephala ","Hippotion eson","Nogodinidae sp1 M_PL_067","Brachymyrmex sp1 M_PL_067","Lecithoceridae sp1 M_PL_067","Episyrphus sp1 M_PL_067","Eristalinus flaveolus","Ischiodon aegyptius ","Musca domestica","Nacoleia sp2 M_PL_067","Syritta sp1 M_PL_067","Allograpta nasuta","Cephonodes trochilus","Fannia pusio ","Lygaeidae sp1 M_PL_067","Melanagromyza sojae ","Pheidole megacephala","Sarrothripinae sp1 M_PL_067","Stomorhina lunata","Zosterops mauritianus"
"Pandanus barklyi",65,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Syzygium coriaceum",0,0,0,16,12,11,3,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Pittosporum senacia",10,1,25,3,1,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aphloia theiformis",4,0,18,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gaertnera sp1 M_PL_067",0,13,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Tabernaemontana persicarifolia",0,16,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Diospyros revaughanii",2,14,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psiadia terebinthina",1,2,1,4,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Stillingia lineata",0,0,0,0,1,1,1,0,1,0,0,4,0,0,0,0,1,0,2,1,0,1,0,1,0,0,1,0
"Gaertnera rotundifolia",0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euodia obtusifolia",0,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turraea rigida",0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gaertnera petrinensis",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Labourdonnaisia callophylloides",1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Phyllanthus phillyreifolius",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Euodia chapelieri",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ochna mauritiana",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cordemoya integrifolia",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smilax anceps",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
