"","Technomyrmex albipes ","Brachymyrmex sp1 M_PL_068","Apis mellifera","Paragus borbonicus","Nacoleia sp1 M_PL_068","Stomorhina lunata","Chrysomya megacephala ","Chaetocnema sp1 M_PL_068","Episyrphus sp1 M_PL_068","Graphomya maculata","Melanostoma annulipes","Villa unifasciata","Allograpta nasuta","Musca domestica","Pachycerina crinicornis ","Ahasverus advena ","Cheloninae sp1 M_PL_068","Eristalinus flaveolus","Ischiodon aegyptius ","Orthellia albigena ","Phorinia sp1 M_PL_068","Siphona sp1 M_PL_068","Unidentified sp1 M_PL_068","Cephonodes trochilus","Cerambycidae sp1 M_PL_068","Drosophila sp1 M_PL_068","Henotesia narcissus","Hyadina sp1 M_PL_068","Hyperaspis hottentota","Macroglossum milvus","Nacoleia sp2 M_PL_068","Panara naso","Papillio manlius","Pelecophora intemipta","Phelsuma cepediana","Polistes hebraeus","Sapromyza sp1 M_PL_068","Sarcophaga arno ","Scolia oryctophaga","Zosterops mauritianus"
"Pittosporum senacia",50,0,6,2,1,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aphloia theiformis",27,0,4,2,0,4,1,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Embelia angustifolia",0,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stillingia lineata",5,0,0,2,0,0,6,0,0,4,0,0,2,4,2,0,0,1,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Memecylon ovatifolium",0,0,2,4,0,5,0,0,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syzygium coriaceum",0,0,0,9,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Diospyros revaughanii",0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Gaertnera sp1 M_PL_068",0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
"Casearia coriacea",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calophyllum eputamen",1,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olea lancea",0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Labourdonnaisia callophylloides",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tabernaemontana persicarifolia",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antidesma madagascariense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"Euodia chapelieri",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turraea rigida",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Warneckea trinervis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Xylopia lamarckii",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
