"","Apis mellifera","Technomyrmex albipes ","Chrysomya megacephala ","Musca domestica","Hydrillodes sp1 M_PL_069","Brachymyrmex sp1 M_PL_069","Nacoleia sp1 M_PL_069","Phorinia sp1 M_PL_069","Paragus borbonicus","Stomorhina lunata","Dolichopodidae sp1 M_PL_069","Graphomya maculata","Panara naso","Phelsuma cepediana","Trirhithrum sp1 M_PL_069","Villa unifasciata","Allograpta sp1 M_PL_069","Conocephalus sp1 M_PL_069","Macroglossum milvus","Melanostoma annulipes","Pteromalidae sp1 M_PL_069","Scopariinae sp1 M_PL_069","Stomoxys calcitrans","Strictopterinae sp1 M_PL_069","Syritta sp1 M_PL_069"
"Pyrostria fasciculata",25,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Labourdonnaisia callophylloides",15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Stillingia lineata",0,0,3,7,0,0,0,4,3,1,2,1,0,0,2,0,0,0,0,0,1,0,1,0,0
"Syzygium coriaceum",0,3,8,2,0,6,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Gaertnera sp1 M_PL_069",3,0,1,0,7,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"Syzygium petrinese",0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diospyros revaughanii",4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Euodia obtusifolia",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Embelia angustifolia",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Memecylon ovatifolium",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syzygium commersonii",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Tristhema mauritiana",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tabernaemontana persicarifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Xyris sp1 M_PL_069",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
