"","Technomyrmex albipes ","Apis mellifera","Musca domestica","Chaetocnema sp1 M_PL_070","Phelsuma cepediana","Eristalinus flaveolus","Brachymyrmex sp1 M_PL_070","Chrysomya megacephala ","Episyrphus sp1 M_PL_070","Panara naso","Paragus borbonicus","Anthomyia faciata","Macroglossum milvus","Melanagromyza sojae ","Nacoleia sp1 M_PL_070","Ornidia obesa","Phorinia sp1 M_PL_070","Polistes hebraeus","Syritta sp1 M_PL_070","Thelairodrino sp1 M_PL_070"
"Syzygium coriaceum",7,0,8,2,0,0,3,1,0,0,1,0,0,1,0,1,1,0,1,0
"Diospyros revaughanii",0,16,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Syzygium petrinese",12,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Casearia coriacea",15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Labourdonnaisia callophylloides",3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calophyllum eputamen",0,1,0,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Gaertnera sp1 M_PL_070",0,0,2,0,0,3,0,1,0,2,0,1,1,0,0,0,0,0,0,0
"Ocotea laevigata",0,0,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Stillingia lineata",0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Syzygium mauritianum",0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cordemoya integrifolia",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tristhema mauritiana",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euodia obtusifolia",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Syzygium commersonii",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
