"","Apis mellifera","Stomorhina lunata","Musca domestica","Chrysomya megacephala ","Ophyra capensis ","Paragus borbonicus","Eristalinus flaveolus","Ornidia obesa","Phelsuma cepediana","Polistes hebraeus","Phorinia sp1 M_PL_071","Trirhithrum sp1 M_PL_071","Sepsis lateralis ","Episyrphus sp1 M_PL_071","Graphomya maculata","Lygistorrhina sp1 M_PL_071","Syritta sp1 M_PL_071","Lecithoceridae sp1 M_PL_071","Nacoleia sp1 M_PL_071","Pachycerina crinicornis ","Paleorhiza sp1 M_PL_071","Scolia carniflex","Simulium sp1 M_PL_071","Simulium sp2 M_PL_071","Zizeeria knysa","Zosterops mauritianus"
"Syzygium glomeratum",0,4,6,7,0,1,3,0,0,0,5,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
"Stillingia lineata",0,0,5,4,4,0,0,0,0,0,0,3,4,0,3,0,0,0,0,1,0,0,0,1,0,0
"Badula insularis",1,9,1,1,0,0,1,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Aphloia theiformis",3,5,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Syzygium petrinese",5,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Diospyros revaughanii",13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Pleurostylia leucocarpa ",0,1,3,0,1,5,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,1,0,0,0
"Calophyllum eputamen",3,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pandanus rigidifolius",2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turraea rigida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Xyris sp1 M_PL_071",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
