"","Chaetocnema sp1 M_PL_074","Apis mellifera","Stomorhina lunata","Fannia pusio ","Technomyrmex albipes ","Dysauxes florida","Lygaeidae sp1 M_PL_074","Pachycerina crinicornis ","Brachymyrmex sp1 M_PL_074","Allograpta nasuta","Lygistorrhina sp1 M_PL_074","Leptotes pirithous","Villa unifasciata","Dioxyna sororcula ","Ophyra capensis ","Musca domestica","Polistes hebraeus","Stomoxys niger","Syritta nigrofemorata","Panara naso","Chrysomya megacephala ","Nacoleia sp1 M_PL_074","Ahasverus advena ","Eristalinus flaveolus","Syritta bulbus","Episyrphus sp1 M_PL_074","Gelechioidea sp2 M_PL_074","Mauritiborium undulatus ","Orthellia albigena ","Pelecophora intemipta","Sarcophaga arno ","Stomoxys calcitrans","Gelechioidea sp1 M_PL_074","Palexorista sp1 M_PL_074","Scatopsidae sp1 M_PL_074","Scirtidae sp1 M_PL_074","Unidentified sp1 M_PL_074"
"Sideroxylon cinereum",0,86,27,21,0,2,0,0,0,0,0,0,0,0,3,0,2,1,0,0,4,1,0,1,0,1,0,0,3,0,1,0,0,0,0,0,0
"Molinaea alternifolia",25,29,13,18,3,6,0,0,0,2,0,6,0,0,6,3,4,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Psiadia terebinthina",18,0,13,0,0,9,21,1,5,1,3,1,2,2,0,0,0,3,1,1,0,3,0,0,4,0,1,1,0,0,0,0,0,0,0,0,1
"Toddalia asiatica",38,0,2,0,17,10,0,8,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Bertiera zaluzania ",0,32,5,0,22,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Croton fothergillifolius",15,0,2,0,14,1,0,0,0,1,10,0,3,1,0,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,1,0
"Stillingia lineata",32,0,1,1,0,0,0,7,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Homalanthus populifolius",19,0,1,17,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Erythroxylum macrocarpum",17,1,2,0,0,4,0,0,0,2,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
"Dodonaea viscosa ",21,0,1,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Aphloia theiformis",6,2,4,0,0,1,0,0,5,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
"Antirhea borbonica",0,1,1,0,0,0,0,3,0,6,0,0,4,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chassalia coriacea",0,1,1,0,0,0,0,0,0,2,0,5,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trochetia blackburniana",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
