"","Chaetocnema sp1 M_PL_075","Stomorhina lunata","Apis mellifera","Technomyrmex albipes ","Dysauxes florida","Allograpta nasuta","Ophyra capensis ","Dioxyna sororcula ","Pachycerina crinicornis ","Ischiodon aegyptius ","Nacoleia sp1 M_PL_075","Brachymyrmex sp1 M_PL_075","Lygistorrhina sp1 M_PL_075","Musca domestica","Polistes hebraeus","Melanostoma bituberculatum ","Panara naso","Paragus borbonicus","Chrysomya megacephala ","Fannia pusio ","Melanostoma annulipes","Cerambycidae sp1 M_PL_075","Episyrphus sp1 M_PL_075","Eristalinus flaveolus","Ornidia obesa","Stomoxys calcitrans","Agathidinae sp1 M_PL_075","Cerambycidae sp2 M_PL_075","Eumolpinae sp1 M_PL_075","Eumolpinae sp2 M_PL_075","Gelechioidea sp1 M_PL_075","Henotesia narcissus","Leptotes pirithous","Mauritiborium undulatus ","Nacoleia sp2 M_PL_075","Phorinia sp1 M_PL_075","Stomoxys niger","Syritta sp1 M_PL_075","Villa unifasciata"
"Dracaena reflexa",0,4,16,0,3,6,0,0,2,6,4,0,0,0,0,0,0,0,3,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"Stillingia lineata",17,2,0,4,0,5,10,0,3,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Myonima violacea",0,0,5,13,12,1,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
"Psiadia terebinthina",4,11,0,0,7,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bertiera zaluzania ",0,1,16,12,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erythroxylum macrocarpum",9,6,0,0,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1
"Homalanthus populifolius",16,2,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Croton fothergillifolius",10,2,0,1,1,0,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
"Molinaea alternifolia",2,6,3,1,0,1,6,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Olea lancea",16,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psidium cattleianum",8,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Faujasiopsis flexuosa",1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Claoxylon linostachys",0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aphloia theiformis",0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flagellaria indica",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chassalia coriacea",0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antirhea borbonica",2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
