"","Apis mellifera","Chaetocnema sp1 M_PL_076","Dysauxes florida","Technomyrmex albipes ","Stomorhina lunata","Lygistorrhina sp1 M_PL_076","Pachycerina crinicornis ","Polistes hebraeus","Brachymyrmex sp1 M_PL_076","Musca domestica","Panara naso","Nacoleia sp1 M_PL_076","Ischiodon aegyptius ","Stomoxys calcitrans","Fannia pusio ","Allograpta nasuta","Chrysomya megacephala ","Gelechioidea sp1 M_PL_076","Campopleginae sp1 M_PL_076","Melanostoma bituberculatum ","Syritta nigrofemorata","Atherigona orientalis","Calopsilia florella","Cratopus psittacus","Cryptocephalinae sp1 M_PL_076","Dioxyna sororcula ","Episyrphus sp1 M_PL_076","Eristalinus flaveolus","Gelechioidea sp2 M_PL_076","Lecithoceridae sp1 M_PL_076","Mauritiborium undulatus ","Nyctemera insulare","Ornidia obesa","Sarcophaga arno ","Siphona sp1 M_PL_076"
"Sideroxylon puberulum",74,0,2,0,11,8,0,0,5,6,0,1,0,7,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ochna mauritiana",20,36,0,0,3,0,1,3,0,0,1,0,5,0,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Myonima violacea",9,0,24,0,4,0,1,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Stillingia lineata",0,6,0,7,2,2,13,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Faujasiopsis flexuosa",0,6,11,0,2,5,3,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Bertiera zaluzania ",23,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Aphloia theiformis",2,0,1,12,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Croton fothergillifolius",0,2,1,13,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Molinaea alternifolia",3,1,0,0,1,2,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Psiadia terebinthina",0,1,0,0,0,2,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Erythroxylum macrocarpum",0,1,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Homalanthus populifolius",0,1,0,4,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psidium cattleianum",0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chassalia coriacea",0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antirhea borbonica",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cordemoya integrifolia",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olea lancea",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
