"","Apis mellifera","Chaetocnema sp1 M_PL_077","Dysauxes florida","Brachymyrmex sp1 M_PL_077","Stomorhina lunata","Nacoleia sp1 M_PL_077","Technomyrmex albipes ","Lygistorrhina sp1 M_PL_077","Panara naso","Chrysomya megacephala ","Eumolpinae sp1 M_PL_077","Pachycerina crinicornis ","Polistes hebraeus","Allograpta nasuta","Syritta nigrofemorata","Musca domestica","Ornidia obesa","Cerambycidae sp1 M_PL_077","Cixiidae sp1 M_PL_077","Eristalinus flaveolus","Fannia pusio ","Ischiodon aegyptius ","Lygaeidae sp1 M_PL_077","Melanostoma bituberculatum ","Mordellidae sp1 M_PL_077","Nitidulidae sp1 M_PL_077","Sarcophaga arno ","Villa unifasciata"
"Sideroxylon puberulum",60,0,0,0,3,0,0,6,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grangeria borbonica",16,16,8,0,0,3,0,0,0,1,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Badula platiphylla",0,22,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Helichrysum proteoides",2,4,2,0,1,0,0,0,1,1,0,1,2,0,3,0,1,0,0,0,1,0,1,0,0,0,1,0
"Myonima violacea",4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harungana madagascariensis",0,9,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stillingia lineata",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Ochna mauritiana",4,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olea lancea",0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psiadia terebinthina",1,2,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"Aphloia theiformis",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psidium cattleianum",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Coffea macrocarpa",0,1,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Homalanthus populifolius",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Faujasiopsis flexuosa",2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gaertnera sp1 M_PL_077",1,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coffea mauritiana",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gaertnera rotundifolia",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Warneckea trinervis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wikstroemia indica",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
