"","Apis mellifera","Chaetocnema sp1 M_PL_078","Villa unifasciata","Pachycerina crinicornis ","Musca domestica","Chrysomya megacephala ","Technomyrmex albipes ","Cerambycidae sp1 M_PL_078","Stomorhina lunata","Dysauxes florida","Lygaeidae sp1 M_PL_078","Pelecophora intemipta","Scolia carniflex"
"Sideroxylon puberulum",24,0,0,0,0,1,0,0,0,0,0,0,0
"Psiadia terebinthina",8,0,3,0,0,0,1,2,1,0,1,0,1
"Psidium cattleianum",4,0,6,0,0,0,0,0,0,0,0,0,0
"Helichrysum proteoides",0,2,0,1,3,2,0,0,0,1,0,0,0
"Stillingia lineata",0,3,0,6,0,0,0,0,0,0,0,0,0
"Grangeria borbonica",3,2,0,0,1,0,0,0,1,0,0,0,0
"Antidesma madagascariense",0,2,1,1,0,0,2,0,0,0,0,0,0
"Labourdonnaisia callophylloides",2,2,0,1,0,0,0,0,0,0,0,1,0
"Olea lancea",0,3,1,0,0,0,0,0,0,0,0,0,0
"Euodia obtusifolia",0,3,0,0,0,0,0,0,0,0,0,0,0
"Warneckea trinervis",3,0,0,0,0,0,0,0,0,0,0,0,0
"Homalanthus populifolius",0,2,0,0,0,0,0,0,0,0,0,0,0
"Phyllanthus phillyreifolius",0,2,0,0,0,0,0,0,0,0,0,0,0
"Wikstroemia indica",0,2,0,0,0,0,0,0,0,0,0,0,0
"Badula platiphylla",0,1,0,0,0,0,0,0,0,0,0,0,0
"Eugenia orbiculata",0,0,1,0,0,0,0,0,0,0,0,0,0
"Euodia chapelieri",0,1,0,0,0,0,0,0,0,0,0,0,0
"Gaertnera sp1 M_PL_078",0,0,1,0,0,0,0,0,0,0,0,0,0
