"","Chaetocnema sp1 M_PL_081","Apis mellifera","Musca domestica","Chrysomya megacephala ","Nacoleia sp1 M_PL_081","Technomyrmex albipes ","Brachymyrmex sp1 M_PL_081","Stomorhina lunata","Dysauxes florida","Phorinia sp1 M_PL_081","Allograpta nasuta","Villa unifasciata","Ahasverus advena ","Episyrphus sp1 M_PL_081","Pachycerina crinicornis ","Syritta nigrofemorata","Cheloninae sp1 M_PL_081","Fannia pusio ","Lecithoceridae sp1 M_PL_081","Mauritiborium undulatus ","Melanostoma annulipes","Melanostoma bituberculatum ","Mordellidae sp1 M_PL_081","Nacoleia sp2 M_PL_081","Paragus borbonicus","Pelecophora intemipta","Polistes hebraeus","Sarcophaga arno ","Stomoxys calcitrans","Syritta sp1 M_PL_081","Thysanoplusia orichalcea"
"Stillingia lineata",24,0,17,13,0,4,0,0,0,5,1,2,2,0,1,2,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0
"Labourdonnaisia callophylloides",0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aphloia theiformis",0,3,4,0,0,1,9,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Gaertnera sp1 M_PL_081",1,5,0,3,11,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
"Ochna mauritiana",14,0,1,1,2,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Croton grangeroides",17,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syzygium coriaceum",11,0,3,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grangeria borbonica",4,7,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Phyllanthus phillyreifolius",0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Croton fothergillifolius",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euodia chapelieri",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cordemoya integrifolia",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smilax anceps",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
