"","Musca domestica","Apis mellifera","Technomyrmex albipes ","Brachymyrmex sp1 M_PL_082","Chaetocnema sp1 M_PL_082","Eristalinus flaveolus","Chrysomya megacephala ","Dysauxes florida","Villa unifasciata","Panara naso","Paragus borbonicus","Stomorhina lunata","Melanostoma annulipes","Nacoleia sp1 M_PL_082","Phorinia sp1 M_PL_082","Sarcophaga arno ","Allograpta nasuta","Episyrphus sp1 M_PL_082","Hippotion eson","Leptotes pirithous","Lygaeidae sp1 M_PL_082","Macroglossum milvus","Mordellidae sp1 M_PL_082","Ornidia obesa","Orthellia albigena ","Stomoxys calcitrans","Syritta sp1 M_PL_082"
"Aphloia theiformis",8,5,4,2,2,4,1,0,3,3,0,2,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"Stillingia lineata",17,0,0,0,0,2,7,0,0,0,2,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1
"Syzygium coriaceum",6,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Molinaea macrantha",0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Casearia coriacea",0,12,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Gaertnera sp1 M_PL_082",3,2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
"Syzygium petrinese",2,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Croton grangeroides",1,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Labourdonnaisia callophylloides",0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phyllanthus phillyreifolius",2,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Cordemoya integrifolia",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erythroxylum macrocarpum",2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
