"","Apis mellifera","Technomyrmex albipes ","Musca domestica","Brachymyrmex sp1 M_PL_083","Chaetocnema sp1 M_PL_083","Chrysomya megacephala ","Dysauxes florida","Orthellia albigena ","Eristalinus flaveolus","Ophyra capensis ","Paragus borbonicus","Pheidole megacephala","Nacoleia sp1 M_PL_083","Ornidia obesa","Polistes hebraeus","Stomorhina lunata","Fannia pusio ","Macroglossum milvus","Musca confiscata","Phelsuma cepediana","Sapromyza sp1 M_PL_083","Sarcophaga arno ","Simulium sp1 M_PL_083","Syritta sp1 M_PL_083"
"Stillingia lineata",0,0,7,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"Aphloia theiformis",0,1,3,0,0,1,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Croton grangeroides",0,0,0,0,3,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"Phyllanthus phillyreifolius",0,8,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Psiadia terebinthina",0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syzygium petrinese",4,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"Badula insularis",0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calophyllum eputamen",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Diospyros revaughanii",5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Molinaea macrantha",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rubus alcefolius",2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Psidium cattleianum",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Embelia angustifolia",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tabernaemontana persicarifolia",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
