"","Apis mellifera","Lasioglossum mahense","Ornidia obesa","Nectarinia dussumieri","Phelsuma sp1 M_PL_088","Neophyllomyza approximatonervis","Hemipyrellia germana","Megachile seychellensis","Geron seychellarum","Unidentified sp2 M_PL_088","Mabuya sechellensis","Musca domestica","Parasarcophaga hirticeps","Rhiparida seychellensis","Rhynchium brunneum","Cratopus aurostriatus","Eristalinus vicarians","Hemipyrellia sp1 M_PL_088","Lampides boeticus ","Lygistorrhina sp1 M_PL_088","Scaptodrosophila sp1 M_PL_088","Unidentified sp1 M_PL_088"
"Medusagyne oppositifolia",36,0,10,0,0,0,5,0,0,0,0,2,1,0,2,0,1,1,0,0,1,0
"Nephrosperma vanhoutteanum",11,20,3,0,2,5,2,4,2,3,0,0,1,0,0,0,0,0,0,1,0,1
"Deckenia nobilis",40,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psychotria pervillei",20,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phoenicophorium borsigianum",5,7,0,0,2,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
"Erythroxylum sechellarum",8,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Syzygium wrightii",0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Diospyros seychellarum",6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Memecylon eleagni",4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mimusops sechellarum",0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canthium bibracteatum",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Timonius sechellensis",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
