"","Apis mellifera","Lasioglossum mahense","Megachile seychellensis","Rhiparida seychellensis","Unidentified sp2 M_PL_089","Hemipyrellia germana","Rhynchium brunneum","Unidentified sp4 M_PL_089","Nectarinia dussumieri","Ceratina tabescens","Lygistorrhina sp1 M_PL_089","Unidentified sp5 M_PL_089","Dichaetomyia fasciculifera","Neophyllomyza approximatonervis","Mabuya sechellensis","Phelsuma sp1 M_PL_089","Chalcidoma disjunctum","Cratopus aurostriatus","Eagris sabadius","Ornidia obesa","Polistes olivaceus","Unidentified sp1 M_PL_089","Unidentified sp3 M_PL_089","Unidentified sp6 M_PL_089"
"Nephrosperma vanhoutteanum",33,34,3,9,13,0,0,2,0,0,4,0,0,2,0,0,0,0,0,0,0,0,1,0
"Deckenia nobilis",24,5,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0
"Diospyros seychellarum",27,3,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phoenicophorium borsigianum",12,14,0,2,0,1,0,5,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
"Premna serratifolia",10,7,2,0,0,3,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Canthium bibracteatum",9,1,10,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psychotria pervillei",9,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Syzygium wrightii",3,0,0,0,0,1,0,0,4,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0
"Dillenia ferruginea",5,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Erythroxylum sechellarum",3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Memecylon eleagni",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
