"","Apis mellifera","Lasioglossum mahense","Unidentified sp1 M_PL_101","Unidentified sp3 M_PL_101","Ornidia obesa","Unidentified sp2 M_PL_101","Unidentified sp6 M_PL_101","Neavella albipectus","Dichaetomyia fasciculifera","Parasarcophaga hirticeps","Scaptodrosophila sp1 M_PL_101","Unidentified sp4 M_PL_101","Unidentified sp8 M_PL_101","Eristalinus vicarians","Perissoma aenescens","Phelsuma sp1 M_PL_101","Unidentified sp5 M_PL_101","Unidentified sp7 M_PL_101"
"Roscheria melanochaetes",3,0,2,9,0,7,0,0,0,0,0,0,2,0,0,0,0,0
"Mimusops sechellarum",0,13,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,1
"Dillenia ferruginea",12,2,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0
"Paragenipa wrightii",3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Memecylon eleagni",10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erythroxylum sechellarum",7,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Soulamea terminaloides",0,0,7,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
"Aphloia theiformis",1,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0
"Syzygium wrightii",2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
"Craterispermum microdon",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glionnetia sericea",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
