"","Lasioglossum mahense","Apis mellifera","Nectarinia dussumieri","Lygistorrhina sp1 M_PL_102","Phelsuma sp1 M_PL_102","Ornidia obesa","Unidentified sp1 M_PL_102","Mabuya sechellensis","Neavella albipectus","Cratopus aurostriatus","Pachycerina seychellensis","Parasarcophaga hirticeps","Polistes olivaceus","Unidentified sp2 M_PL_102","Dichaetomyia fasciculifera","Foudia madagascariensis","Plagiostenopterina cyanosoma","Scaptodrosophila sp1 M_PL_102","Unidentified sp3 M_PL_102","Unidentified sp4 M_PL_102","Unidentified sp5 M_PL_102"
"Dillenia ferruginea",19,16,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Gastonia crassa",5,1,11,0,9,0,0,5,0,0,0,0,2,0,0,1,0,0,0,0,0
"Erythroxylum sechellarum",5,7,0,0,0,0,5,0,3,0,2,0,0,0,1,0,1,0,0,0,1
"Nephrosperma vanhoutteanum",9,1,0,2,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Psychotria pervillei",5,0,9,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Roscheria melanochaetes",0,0,0,11,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,1,0
"Memecylon eleagni",1,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aphloia theiformis",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campnosperma seychellarum",0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Cinnamomum verum",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paragenipa wrightii",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
