"","Apis mellifera","Lasioglossum mahense","Scaptodrosophila sp1 M_PL_104","Ornidia obesa","Unidentified sp3 M_PL_104","Simosyrphus aegyptius","Nectarinia dussumieri","Neophyllomyza approximatonervis","Lygistorrhina sp1 M_PL_104","Phelsuma sp1 M_PL_104","Tricimba seychellensis","Unidentified sp1 M_PL_104","Unidentified sp4 M_PL_104","Unidentified sp5 M_PL_104","Cratopus aurostriatus","Unidentified sp2 M_PL_104","Mabuya sechellensis","Rhynchium brunneum"
"Phoenicophorium borsigianum",20,33,19,6,16,7,0,4,2,0,0,0,0,0,0,0,0,0
"Nephrosperma vanhoutteanum",15,12,0,0,0,0,0,2,3,1,0,0,0,0,1,0,0,0
"Dillenia ferruginea",19,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Psychotria pervillei",15,8,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
"Erythroxylum sechellarum",11,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1
"Paragenipa wrightii",12,8,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0
"Memecylon eleagni",12,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Craterispermum microdon",4,4,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0
"Syzygium wrightii",0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0
"Mimusops sechellarum",0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
"Roscheria melanochaetes",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
