"","Apis mellifera","Lasioglossum mahense","Lygistorrhina sp1 M_PL_105","Unidentified sp2 M_PL_105","Unidentified sp4 M_PL_105","Ornidia obesa","Eristalinus vicarians","Forcipomyia sp1 M_PL_105","Cratopus aurostriatus","Hemipyrellia germana","Neophyllomyza approximatonervis","Unidentified sp3 M_PL_105","Nectarinia dussumieri","Phelsuma sp1 M_PL_105","Rhiparida seychellensis","Simosyrphus aegyptius","Unidentified sp1 M_PL_105","Xylocopa caffra"
"Dillenia ferruginea",16,3,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,1
"Erythroxylum sechellarum",14,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
"Nephrosperma vanhoutteanum",2,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Excoecaria benthiamiana",0,0,11,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0
"Psychotria pervillei",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roscheria melanochaetes",0,0,0,12,0,0,0,2,0,0,2,2,0,0,0,0,0,0
"Memecylon eleagni",3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Aphloia theiformis",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Soulamea terminaloides",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syzygium wrightii",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
