"","Apis mellifera","Lasioglossum mahense","Nectarinia dussumieri","Hemipyrellia germana","Rhiparida seychellensis","Unidentified sp5 M_PL_106","Pachycerina seychellensis","Ceratina tabescens","Neophyllomyza approximatonervis","Unidentified sp1 M_PL_106","Scaptodrosophila sp1 M_PL_106","Agrius convolvuli","Lygistorrhina sp1 M_PL_106","Rhynchium brunneum","Unidentified sp2 M_PL_106","Unidentified sp6 M_PL_106","Forcipomyia sp1 M_PL_106","Ornidia obesa","Unidentified sp3 M_PL_106","Unidentified sp4 M_PL_106","Hemipyrellia sp1 M_PL_106","Megachile seychellensis","Melanostoma annulipes","Perissoma aenescens","Simosyrphus aegyptius","Xylocopa caffra"
"Nephrosperma vanhoutteanum",32,36,0,7,0,0,6,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Psychotria pervillei",25,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roscheria melanochaetes",0,0,0,0,6,7,0,0,3,5,0,0,0,0,3,3,1,0,2,2,0,0,0,1,0,0
"Gastonia crassa",18,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chrysobalanus icaco",17,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
"Dillenia ferruginea",11,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
"Memecylon eleagni",8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campnosperma seychellarum",0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,1,0
"Glionnetia sericea",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Excoecaria benthiamiana",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
