"","Apis mellifera","Lasioglossum mahense","Nectarinia dussumieri","Phelsuma sp1 M_PL_120","Unidentified sp2 M_PL_120","Unidentified sp4 M_PL_120","Neophyllomyza approximatonervis","Xylocopa caffra","Dichaetomyia fasciculifera","Ornidia obesa","Lygistorrhina sp1 M_PL_120","Eagris sabadius","Hemipyrellia germana","Unidentified sp3 M_PL_120","Cratopus aurostriatus","Megachile seychellensis","Rhynchium brunneum","Scaptodrosophila sp1 M_PL_120","Unidentified sp1 M_PL_120"
"Nephrosperma vanhoutteanum",21,19,0,2,8,0,0,0,2,0,0,0,0,0,0,1,0,0,0
"Phoenicophorium borsigianum",6,10,0,2,0,9,0,0,0,0,3,0,0,0,1,0,0,0,0
"Erythroxylum sechellarum",15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Syzygium wrightii",8,2,4,0,0,0,0,6,0,1,0,2,1,0,0,0,0,0,0
"Dillenia ferruginea",17,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Chrysobalanus icaco",11,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Mimusops sechellarum",0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roscheria melanochaetes",2,1,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,1
"Dracaena reflexa",0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0
"Paragenipa wrightii",0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Northea hornei",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
