"","Apis mellifera","Lasioglossum mahense","Unidentified sp2 M_PL_121","Rhiparida seychellensis","Neophyllomyza approximatonervis","Phelsuma sp1 M_PL_121","Unidentified sp4 M_PL_121","Unidentified sp6 M_PL_121","Unidentified sp1 M_PL_121","Hemipyrellia germana","Ornidia obesa","Unidentified sp3 M_PL_121","Cratopus aurostriatus","Polistes olivaceus","Simosyrphus aegyptius","Unidentified sp5 M_PL_121","Forcipomyia litoraurea","Forcipomyia sp1 M_PL_121","Lygistorrhina sp1 M_PL_121","Nectarinia dussumieri","Pachycerina seychellensis","Unidentified sp7 M_PL_121","Xylocopa caffra"
"Nephrosperma vanhoutteanum",13,10,30,5,3,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0
"Chrysobalanus icaco",17,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"Memecylon eleagni",14,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Erythroxylum sechellarum",9,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dillenia ferruginea",4,7,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1
"Phoenicophorium borsigianum",0,3,0,0,1,1,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
"Northea hornei",8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Roscheria melanochaetes",0,2,0,0,2,0,1,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0
"Campnosperma seychellarum",0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psychotria pervillei",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
