"","Apis mellifera","Lasioglossum mahense","Neophyllomyza approximatonervis","Forcipomyia sp1 M_PL_128","Unidentified sp6 M_PL_128","Xylocopa caffra","Unidentified sp1 M_PL_128","Mabuya sechellensis","Nectarinia dussumieri","Lygistorrhina sp1 M_PL_128","Ornidia obesa","Phelsuma sp1 M_PL_128","Unidentified sp7 M_PL_128","Cratopus aurostriatus","Unidentified sp5 M_PL_128","Hemipyrellia germana","Rhiparida seychellensis","Unidentified sp3 M_PL_128","Unidentified sp4 M_PL_128","Chalcidoma disjunctum","Polistes olivaceus","Simosyrphus aegyptius","Unidentified sp2 M_PL_128"
"Nephrosperma vanhoutteanum",24,10,26,2,0,0,5,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,1
"Phoenicophorium borsigianum",13,27,0,0,15,0,0,0,0,1,0,3,5,0,0,0,0,2,2,0,0,0,0
"Roscheria melanochaetes",0,0,15,15,0,0,5,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
"Erythroxylum sechellarum",10,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dillenia ferruginea",15,0,0,0,0,1,0,0,1,0,6,0,0,0,0,2,2,0,0,0,0,0,0
"Dillenia suffruticosa",4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Excoecaria benthiamiana",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Memecylon eleagni",11,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Gastonia crassa",0,0,0,0,0,0,0,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Psychotria pervillei",4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syzygium wrightii",1,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
