"","Apis mellifera","Lasioglossum mahense","Nectarinia dussumieri","Unidentified sp3 M_PL_129","Xylocopa caffra","Unidentified sp2 M_PL_129","Hemipyrellia germana","Unidentified sp1 M_PL_129","Pachycerina seychellensis","Ornidia obesa","Eristalinus vicarians","Rhiparida seychellensis","Hemipyrellia sp1 M_PL_129","Mabuya sechellensis","Rhynchium brunneum","Phelsuma sp1 M_PL_129","Chalcidoma disjunctum","Dichaetomyia fasciculifera","Neophyllomyza approximatonervis","Simosyrphus aegyptius","Tricimba seychellensis"
"Nephrosperma vanhoutteanum",22,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Erythroxylum sechellarum",15,8,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Dillenia ferruginea",11,4,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Chrysobalanus icaco",15,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phoenicophorium borsigianum",0,1,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syzygium wrightii",2,0,10,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0
"Dillenia suffruticosa",4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nepenthes pervillei",0,1,0,0,0,0,0,3,0,4,3,0,3,0,0,0,0,0,0,0,0
"Memecylon eleagni",7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Canthium bibracteatum",2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0
"Soulamea terminaloides",0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,1,1,0,1
"Pittosporum senacia",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Excoecaria benthiamiana",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
