"","Numbers of flowers","Phaethornis eurynome","Thalurania glaucopis","Clytolaema rubricauda","Leucochloris albicollis","Amazilia versicolor","Stephanoxis lalandi","Florisuga fusca","Lophornis chalybeus","Eupetomena macroura"
Frequency of occurrences","#",86.923,78.462,66.923,20,8.462,13.077,21.538,5.385,0.769
"Inga sessilis",2265,44,32,198,23,8,0,41,2,0
"Erythrina speciosa",57102,107,137,95,0,1,0,0,5,1
"Aechmea vanhoutteana",22,95,132,0,0,0,0,0,0,0
"Spirotheca rivieri",1980,0,74,102,0,0,0,4,5,0
"Wittrockia superba",23,55,77,0,0,0,0,0,0,0
"Aechmea gamosepala",41,18,95,6,0,0,2,0,0,0
"Canistrum perplexum",29,14,68,18,0,0,0,1,0,0
"Callianthe rufinerva",162,1,22,60,0,0,0,0,0,0
"Edmundoa lindenii",22,53,26,0,0,0,0,0,0,0
"Macrocarpaea rubra",568,6,33,2,1,30,6,0,0,0
"Mutisia speciosa",18,62,0,0,14,0,0,0,0,0
"Psittacanthus dichroos",56,1,1,53,10,1,0,1,0,0
"Canna paniculata",289,65,0,0,0,0,0,0,0,0
"Alstroemeria inodora",280,30,0,0,2,0,18,0,0,0
"Manettia cordifolia",591,50,0,0,0,0,0,0,0,0
"Nidularium innocentii",1005,36,0,2,0,0,0,0,0,0
"Aechmea distichantha",106,15,21,1,0,0,0,0,0,0
"Aechmea sp1 M_PL_063",19,12,24,0,0,0,0,0,0,0
"Billbergia amoena",38,36,0,0,0,0,0,0,0,0
"Nematanthus fritschii",339,36,0,0,0,0,0,0,0,0
"Sinningia cooperi",179,35,0,0,0,0,0,0,0,0
"Mendoncia velloziana",18,2,0,14,0,16,0,0,0,0
"Aphelandra longiflora",21,31,0,0,0,0,0,0,0,0
"Nidularium procerum",378,31,0,0,0,0,0,0,0,0
"Besleria longimucronata",445,9,19,0,0,0,0,0,0,0
"Lantana camara",600,1,0,0,0,0,26,0,0,0
"Fuchsia regia",5485,6,5,15,0,0,0,0,0,0
"Vriesea simplex",16,24,0,0,0,0,0,0,0,0
"Centropogon cornutus",62,23,0,0,0,0,0,0,0,0
"Siphocampylus convolvulaceus",189,22,1,0,0,0,0,0,0,0
"Aechmea nudicaulis",19,1,6,15,0,0,0,0,0,0
"Nematanthus fluminensis",373,22,0,0,0,0,0,0,0,0
"Nematanthus gregarius",300,4,18,0,0,0,0,0,0,0
"Vriesea incurvata",110,22,0,0,0,0,0,0,0,0
"Nidularium rutilans",52,20,0,1,0,0,0,0,0,0
"Vriesea sp1 M_PL_063",24,20,0,0,0,0,0,0,0,0
"Pyrostegia venusta",91,17,1,0,1,0,0,0,0,0
"Aphelandra colorata",120,18,0,0,0,0,0,0,0,0
"Tillandsia geminiflora",30,2,12,2,1,0,1,0,0,0
"Vriesea erythrodactylon",17,17,0,0,0,0,0,0,0,0
"Sinningia elatior",158,7,0,0,9,0,0,0,0,0
"Vriesea carinata",359,16,0,0,0,0,0,0,0,0
"Nematanthus sp1 M_PL_063",19,15,0,0,0,0,0,0,0,0
"Nidularium longiflorum",446,11,0,0,0,0,0,0,0,0
"Nematanthus sericeus",26,5,1,4,0,0,0,0,0,0
"Vriesea inflata",65,9,0,0,0,0,0,0,0,0
"Justicia sp1 M_PL_063",64,7,0,0,0,0,0,0,0,0
"Siphocampylus longipedunculatus",49,7,0,0,0,0,0,0,0,0
"Tillandsia sp1 M_PL_063",60,2,4,1,0,0,0,0,0,0
"Tillandsia stricta",114,1,3,1,0,0,1,0,0,0
"Justicia sp2 M_PL_063",67,5,0,0,0,0,0,0,0,0
"Sinningia glazioviana",146,4,0,0,0,0,0,0,0,0
"Siphocampylus lauroanus",159,4,0,0,0,0,0,0,0,0
"Psychotria leiocarpa",8704,0,2,0,0,1,0,0,0,0
"Tillandsia dura",11,1,0,0,0,0,0,0,0,0
