"","Thalurania glucopis","Phaethornis squalidus","Phaethornis ruber","Calliphlox amethystina","Chlorostilbon aureoventris","Phaethornis pretrei","Amazilia fimbriata","Amazilia lactea"
"Geissomeria schottiana",35,14,3,0,0,1,1,0
"Justicia scheidweileri",17,4,12,0,0,0,0,0
"Ruellia brevifolia",0,12,7,0,0,1,0,0
"Passiflora speciosa",0,11,0,0,0,0,0,0
"Mendoncia velloziana",8,0,1,0,0,0,0,1
"Fridericia speciosa",0,3,0,4,2,0,0,0
"Corymborkis flava",0,6,0,0,2,0,0,0
"Heliconia simulans",2,1,5,0,0,0,0,0
"Mutisia speciosa",0,0,7,0,0,0,0,0
"Lantana camara",0,3,2,0,0,0,0,0
"Rubus rosaefolius",0,1,4,0,0,0,0,0
"Passiflora kermesina",0,0,4,0,0,0,0,0
"Hyptis asperrima",0,0,0,1,1,0,0,0
"Ruellia subsessilis",0,0,2,0,0,0,0,0
