"","Amazilia rutila","Chlorostilbon canivetii","Cynanthus latirostris","Heliomaster constantii","Archilochus colubris"
"Hamelia versicolor",1056,592,324,41,0
"Vitex mollis",52,1847,0,0,0
"Combretum farinosum",687,134,230,0,0
"Ipomoea bracteata",525,0,124,34,12
"Mirabilis sp1 M_PL_065",0,0,627,0,0
"Ipomoea wolcottiana",46,0,281,0,148
"Opuntia excelsa",371,2,0,46,0
"Nopalea karwinskiana",57,0,0,321,0
"Ceiba aesculifolia",169,0,25,107,0
"Caesalpinia pulcherrima",243,0,0,0,0
"Cordia seleriana",55,130,0,0,0
"Psittacanthus calyculatus",39,0,0,0,99
"Tillandsia bartramii",119,0,0,0,0
"Pithecellobium mangens",0,104,0,0,0
"Tillandsia paucifolia",90,0,8,1,0
"Tillandsia dasyrifolia",85,0,0,0,0
"Groton suberosus",58,0,0,0,0
"Justicia mexicana",14,0,32,0,0
"Erythrina lanata",0,0,0,5,0
"Ipomoea quamoclit",2,2,1,0,0
"Tabebuia donnell-smithii",0,0,0,3,0
