"","Number of flowers","Phaethornis eurynome","Thalurania glaucopis","Phaethornis squalidus","Clytolaema rubricauda","Leucochloris albicollis"
"Abutilon bedfordianum",15,8.3,79.2,0,12.5,0
"Aechmea nudicaulis",6,18.4,63.1,5.3,13.2,0
"Aechmea vanhoutteana",134,22.6,68.9,6.7,1.8,0
"Billbergia distachya",6,61.1,11.1,27.8,0,0
"Billbergia vitata",3,65.4,0,3.8,30.8,0
"Bomarea edulis",17,36,12,52,0,0
"Fuchsia regia",5,20,20,60,0,0
"Hippeastrum aulicum",17,50,29,21,0,0
"Justicia sebastianopolitanae",8,100,0,0,0,0
"Manettia mirtis",16,14.8,14.8,70.4,0,0
"Mendoncia sp1 M_PL_066",20,9.7,48.8,0,0,41.5
"Nematanthus crassifolius",6,100,0,0,0,0
"Nematanthus fornix",9,25,68.7,6.3,0,0
"Nematanthus lanceolatus",2,31.6,0,68.4,0,0
"Nidularium itatiaiae",4,100,0,0,0,0
"Odontonema barlerioides",13,30,0,70,0,0
"Pitcaimia flammea",9,65,30,5,0,0
"Psittacanthus flavo viridis",7,0,66.7,0,33.3,0
"Pyrostegia venusta",190,61.5,7.7,23.1,0,7.7
"Quesnelia augusto-coburgii",10,100,0,0,0,0
"Salvia sellowiana",10,88.2,0,11.8,0,0
"Sinningia cooperi",10,63.6,22.7,13.7,0,0
"Sinningia gigantifolia",9,71.4,0,28.6,0,0
"Siphocampylus longepedunculatus",9,100,0,0,0,0
"Staurogyne itatiaiae",5,28.6,0,71.4,0,0
"Tillandsia gardneri",2,0,50,50,0,0
"Velloziela dracocephaloides",7,100,0,0,0,0
"Vriesea carinata",2,90,10,0,0,0
"Vriesea longicaulis",2,50,50,0,0,0
"Vriesea sp1 M_PL_066",5,0,0,0,100,0
"Stromanthe thalia",3,33.4,0,33.3,33.3,0
