"","Chlorostilbon lucidus","Eupetomena macroura","Heliomaster squamosus","Chrysolampis mosquitus","Calliphlox amethystina"
"Cnidoscolus halteris",6269,1242,416,46,66
"Tacinga palmadora",1524,3,48,1,1
"Oxalis psoraleoides",937,0,0,0,0
"Melocactus zehntneri",871,14,0,0,0
"Melochia tomentosa",581,2,1,4,0
"Tabebuia impetiginosa",208,32,97,18,0
"Unidentified sp1 M_PL_067",318,0,0,0,0
"Cnidoscolus obtusifolius",210,0,0,0,0
"Cissus simsiana",203,0,0,0,0
"Bauhinia cheilantha",92,14,6,2,0
"Plumbago scandens",95,1,0,0,0
"Jatropha mollissima",80,1,0,2,0
"Encholirium spectabile",53,16,11,0,0
"Ipomoea sp1 M_PL_067",18,0,4,0,0
"Tacinga inamoena",19,2,0,0,0
"Ruellia asperula",18,0,0,0,0
"Allamanda blanchetii",6,0,1,0,0
"Cissus verticillata",5,0,0,0,0
"Pithecoseris pacourinoides",5,0,0,0,0
"Pilosocereus sp1 M_PL_067",0,4,0,0,0
"Ceiba glaziovii",1,0,2,0,0
"Conocliniopsis prasiifolia",3,0,0,0,0
"Dioclea grandiflora",1,0,1,0,0
"Hyptis pectinata",2,0,0,0,0
"Anadenanthera macrocarpa",1,0,0,0,0
"Caesalpinia pyramidalis",1,0,0,0,0
"Croton blanchetianus",0,0,1,0,0
"Pilosocereus gounellei",1,0,0,0,0
"Psidium sp1 M_PL_067",1,0,0,0,0
"Staelia galioides",1,0,0,0,0
"Walteria rotundifolia",1,0,0,0,0
