"","Eriocnemis mosquera","Aglaeactis cupripennis","Pterophanes cyanopterus","Chalcostigma herrani","Metallura tyrianthina","Eriocnemis derbyi","Lafresnaya lafresnayi","Coeligena lutetiae","Ensifera ensifera"
"Barnadesia spinosa",3,51,0,0,11,11,11,0,0
"Siphocampylus paramicola",6,26,24,3,1,10,7,0,0
"Brachyotum lindenii",34,3,0,14,0,0,0,0,0
"Disterigma codonanthum",22,0,0,5,14,3,0,0,0
"Puya clava-herculis",5,1,30,0,0,0,0,0,0
"Siphocampylus giganteus",5,22,3,1,0,3,0,1,0
"Macleania rupestris",24,0,1,2,1,3,0,0,0
"Guzmania candelabrum",22,0,0,1,1,4,0,0,0
"Desfontainea spinosa",23,0,0,0,0,1,0,1,0
"Guzmania bakeri",24,0,0,0,0,1,0,0,0
"Espeletia sp1 M_PL_068",0,0,0,16,0,0,0,0,0
"Gaultheria erecta",5,0,0,1,7,0,0,0,0
"Disterigma sp1 M_PL_068",7,0,0,0,5,0,0,0,0
"Tillandsia orbicularis",11,0,0,0,0,0,0,0,0
"Gaiadendron punctatum",0,0,0,10,0,0,0,0,0
"Racinaea tetrantha",3,0,0,0,5,2,0,0,0
"Brachyotum ledifolium",5,3,1,0,0,0,0,0,0
"Vaccinium floribundum",5,0,0,1,2,0,0,0,0
"Bomarea sp1 M_PL_068",3,2,0,0,0,2,0,0,0
"Brachyotum sp1 M_PL_068",7,0,0,0,0,0,0,0,0
"Fuchsia corollata",0,1,0,0,3,0,0,3,0
"Bomarea linifolia",5,0,0,1,0,0,0,0,0
"Centropogon sp1 M_PL_068",1,0,0,0,0,2,2,0,0
"Elleanthus sp1 M_PL_068",4,0,0,1,0,0,0,0,0
"Passiflora mixta",1,0,0,0,0,0,0,0,3
"Tillandsia complanata",3,0,0,0,1,0,0,0,0
"Tristerix longebracteatus",0,0,4,0,0,0,0,0,0
"Gaultheria insipida",0,0,0,1,1,0,0,0,0
"Bejaria aestuans",1,0,0,0,0,0,0,0,0
"Diplostephium sp1 M_PL_068",1,0,0,0,0,0,0,0,0
"Pernettya prostrata",0,0,0,1,0,0,0,0,0
