"","Clytolaema rubricauda","Thalurania glaucopis","Phaethornis eurynome","Amazilia fimbriata","Amazilia versicolor","Ramphodon naevius"
Abundance",19,54,121,2,5,38
"Fuchsia regia",208,63,0,0,0,0
"Justicia brasiliana",0,0,71,0,0,0
"Hippeastrum aulicum",0,3,32,0,0,0
"Heliconia farinosa",0,33,1,0,0,0
"Nematanthus australis",6,26,0,0,0,0
"Psychotria suterella",0,32,0,0,0,0
"Nidularium inocentii",0,0,17,0,0,0
"Ipomea sp1 M_PL_069_01",0,7,0,7,1,0
"Sinningia douglasii",0,0,2,13,0,0
"Vriesea vagans",4,4,0,0,0,1
"Aechmea blumenavii",0,1,7,0,0,0
"Billbergia amoena",0,0,6,0,0,0
"Justicia carnea",0,4,1,0,0,0
"Tillandsia sp1 M_PL_069_01",0,5,0,0,0,0
"Vriesea carinata",0,0,3,0,0,0
"Hedychium coronarium",0,0,0,0,2,0
"Vriesea erythrodactylon",1,0,0,0,0,0
"Vriesea incurvata",0,0,0,0,0,1
