"","Phaethornis bourcieri","Chlorostilbon olivaresi","Phaethornis malaris","Thalurania furcata","Phaethornis ruber","Amazilia versicolor","Florisuga mellivora","Topaza pyra"
"Decagonocarpus cornutus",0,102,0,0,0,0,0,0
"Retiniphyllum rhabdocalyx",29,5,0,40,0,0,0,0
"Aechmea chantiniii",13,38,0,0,1,0,0,0
"Aphelandra macrostachya",30,0,22,0,0,0,0,0
"Isertia hypoleuca",5,0,41,4,0,0,1,1
"Monotagma secundum",32,0,0,8,1,0,0,0
"Payparola hulkiana",33,0,1,4,3,0,0,0
"Tachia occidentalis",23,0,11,0,0,0,0,0
"Drymonia semicordata",28,0,1,0,0,0,0,0
"Satyria panurensis",11,9,0,7,0,0,0,0
"Billbergia decora",16,0,9,0,0,0,0,0
"Passiflora vitifolia",9,0,16,0,0,0,0,0
"Aechmea contracta",23,0,0,0,1,0,0,0
"Heliconia sp1 M_PL_071",6,0,18,0,0,0,0,0
"Alloplectus savanarum",19,0,3,0,0,0,0,0
"Pepinia sp1 M_PL_071",8,0,12,0,0,0,0,0
"Ischnosiphon lasiocoleus",2,0,0,0,17,0,0,0
"Palicourea sp1 M_PL_071",17,0,0,0,0,0,0,0
"Symphonia globulifera",5,0,0,12,0,0,0,0
"Ryania pyrifera",7,0,0,9,0,0,0,0
"Markea coccinea",13,0,0,2,0,0,0,0
"Pslicourea quadrifolia",1,0,0,12,1,0,0,0
"Psychotria bahiensis",9,0,0,3,2,0,0,0
"Psychotria platypoda",0,0,0,14,0,0,0,0
"Tabernamontana macrocalyx",13,0,0,0,0,0,0,0
"Psychotria peppigiana",12,0,0,0,0,0,0,0
"Psittacanthus lasianthus",10,1,0,0,0,0,0,0
"Aechmea corymbosa",10,0,0,0,0,0,0,0
"Vriesea chrysostachys",6,2,0,0,0,0,0,0
"Zygia lathetica",3,0,2,3,0,0,0,0
"Costus scaber",7,0,0,0,0,0,0,0
"Columnea ericae",5,0,0,1,0,0,0,0
"Isertia rosea",0,0,4,2,0,0,0,0
"Amasonia arborea",4,0,0,0,0,1,0,0
"Bromelia sp1 M_PL_071",3,0,2,0,0,0,0,0
"Calathea zingiberea",3,0,0,2,0,0,0,0
"Heliconia tarumaensis",3,0,2,0,0,0,0,0
"Passiflora sp1 M_PL_071",2,0,1,2,0,0,0,0
"Aechmea rubiginosa",3,0,0,0,0,0,0,0
"Ferdinandusa sprucei",1,2,0,0,0,0,0,0
"Gurania rufipila",3,0,0,0,0,0,0,0
"Justicia cuatrecasii",3,0,0,0,0,0,0,0
"Palicourea subspicata",3,0,0,0,0,0,0,0
"Renealmia sp1 M_PL_071",0,0,0,0,1,0,0,0
