,Augochlora semiramis,Astylus quadrilineatus,Camponotus sp1 M_PL_072_01,Unidentified sp1 M_PL_072_01,Toxomerus sp1 M_PL_072_01,Unidentified sp14 M_PL_072_01,Augochlorella ephyra,Lerodea eufala,Unidentified sp3 M_PL_072_01,Chrysodina sp1 M_PL_072_01,Apis mellifera,Chilicola sp1 M_PL_072_01,Palpada sp1 M_PL_072_01,Unidentified sp5 M_PL_072_01,Allograpta sp1 M_PL_072_01,Bombus bellicosus,Megachile sp1 M_PL_072_01,Pampasatyrus gyrtone,Unidentified sp18 M_PL_072_01,Unidentified sp19 M_PL_072_01,Vanessa sp1 M_PL_072_01,Villa sp1 M_PL_072_01,Xylocopa ciliata,Cochliomyia macellaria,Corticea immocerina,Euptoieta claudia hortensia,Gaesischia sp1 M_PL_072_01,Lucilia sericata,Mischocyttarus drewseni,Parachytas sp1 M_PL_072_01,Platycheirus sp1 M_PL_072_01,Unidentified sp10 M_PL_072_01,Unidentified sp12 M_PL_072_01,Unidentified sp15 M_PL_072_01,Unidentified sp17 M_PL_072_01,Agraulis vanillae,Audre epulus signata,Augochloropsis sp1 M_PL_072_01,Campsomeris bistrimacula,Ceratina montana,Chalepogenus goeldianus,Chauliognathus scriptus,Chauliognathus sp1 M_PL_072_01,Chrysopa sp1 M_PL_072_01,Coelioxys sp1 M_PL_072_01,Colletes cyaneus,Colletes sp1 M_PL_072_01,Copestylum sp1 M_PL_072_01,Dialictus sp1 M_PL_072_01,Entypus ferruginipennis,Entypus sp1 M_PL_072_01,Leioproctus indigoticus,Panurgillus sp1 M_PL_072_01,Polistes sp1 M_PL_072_01,Polybia scutellaris,Stenodynerus sp1 M_PL_072_01,Tachypompilus sp1 M_PL_072_01,Thespieus catochra,Unidentified sp11 M_PL_072_01,Unidentified sp13 M_PL_072_01,Unidentified sp16 M_PL_072_01,Unidentified sp2 M_PL_072_01,Unidentified sp4 M_PL_072_01,Unidentified sp6 M_PL_072_01,Unidentified sp7 M_PL_072_01,Unidentified sp8 M_PL_072_01,Unidentified sp9 M_PL_072_01
Eryngium stenophyllum,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Hysterionica pinifolia,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Eupatorium subhastatum,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
Glandularia dissecta,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stevia satureiifolia,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achyrocline satureoides,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baccharis tandilensis,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Senecio selloi,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baccharis articulata,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baccharis coridifolia,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Eryngium horridum,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Eupatorium tenacetifolium,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vernonia echioides,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Solidago chilensis,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Senecio grisebachii,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gelasine azurea,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypochaeris rosengurtii,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
