,Augochlora semiramis,Toxomerus sp1 M_PL_072_03,Astylus quadrilineatus,Allograpta sp1 M_PL_072_03,Augochlorella ephyra,Ceratina montana,Unidentified sp12 M_PL_072_03,Unidentified sp2 M_PL_072_03,Agraulis vanillae,Dialictus sp1 M_PL_072_03,Polybia scutellaris,Unidentified sp1 M_PL_072_03,Vanessa sp1 M_PL_072_03,Camponotus sp1 M_PL_072_03,Chilicola sp1 M_PL_072_03,Euptoieta claudia hortensia,Chrysodina sp1 M_PL_072_03,Pseudagapostemon pampeanus,Strymon eurytulus,Unidentified sp11 M_PL_072_03,Xylocopa augusti,Xylocopa ciliata,Apis mellifera,Brachygastra lechiguana,Colias lesbia,Tatochila autodice,Thespieus catochra,Unidentified sp4 M_PL_072_03,Agrotis sp1 M_PL_072_03,Augochloropsis sp1 M_PL_072_03,Cochliomyia macellaria,Corticea immocerina,Isepeolus viperinus,Leioproctus indigoticus,Lerodea eufala,Lucilia sericata,Panurgillus sp1 M_PL_072_03,Parachytas sp1 M_PL_072_03,Platycheirus sp1 M_PL_072_03,Pyrgus sp1 M_PL_072_03,Syritta sp1 M_PL_072_03,Trichopoda giacomelli,Unidentified sp14 M_PL_072_03,Unidentified sp3 M_PL_072_03,Unidentified sp5 M_PL_072_03,Unidentified sp6 M_PL_072_03,Villa sp1 M_PL_072_03,Zeta canaliculata,Audre epulus signata,Augochloropsis erato,Bombus bellicosus,Campsomeris bistrimacula,Chauliognathus scriptus,Chauliognathus sp1 M_PL_072_03,Colletes cyaneus,Dactylozodes specie,Discodon sp1 M_PL_072_03,Discodon sp2 M_PL_072_03,Gaesischia sp1 M_PL_072_03,Harmonia axyrides,Lema sp1 M_PL_072_03,Megachile sp1 M_PL_072_03,Mischocyttarus drewseni,Neochrysis sp1 M_PL_072_03,Palpada sp1 M_PL_072_03,Pampasatyrus gyrtone,Polistes sp1 M_PL_072_03,Pseudagapostemon brasiliensis,Pseudagapostemon singularis,Pseudocentron sp1 M_PL_072_03,Pseudodoros sp1 M_PL_072_03,Teochila maenacte,Unidentified sp10 M_PL_072_03,Unidentified sp13 M_PL_072_03,Unidentified sp15 M_PL_072_03,Unidentified sp7 M_PL_072_03,Unidentified sp8 M_PL_072_03,Unidentified sp9 M_PL_072_03,Yphthimoides celmis
Hysterionica pinifolia,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Eupatorium subhastatum,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eryngium horridum,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Eupatorium tenacetifolium,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Senecio bravensis,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Baccharis coridifolia,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Eryngium stenophyllum,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senecio madagascariensis,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sommerfeltia spinulosa,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blumenbachia insignis,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Oxalis articulata,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Stevia satureiifolia,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Habranthus andersoni,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passiflora caerulea,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abutilon terminale,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Echium plantagineum,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eupatorium macrocephalum,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
