,Apis mellifera,Astylus quadrilineatus,Brachygastra lechiguana,Augochlora semiramis,Augochloropsis erato,Allograpta sp1 M_PL_072_04,Polybia scutellaris,Unidentified sp15 M_PL_072_04,Lerodea eufala,Polistes sp1 M_PL_072_04,Toxomerus sp1 M_PL_072_04,Unidentified sp1 M_PL_072_04,Unidentified sp4 M_PL_072_04,Unidentified sp7 M_PL_072_04,Bombus bellicosus,Lucilia sericata,Platycheirus sp1 M_PL_072_04,Unidentified sp12 M_PL_072_04,Unidentified sp9 M_PL_072_04,Vanessa sp1 M_PL_072_04,Xylocopa augusti,Xylocopa ciliata,Agraulis vanillae,Augochlorella ephyra,Chlorion sp1 M_PL_072_04,Corticea immocerina,Mischocyttarus drewseni,Parachytas sp1 M_PL_072_04,Unidentified sp6 M_PL_072_04,Camponotus sp1 M_PL_072_04,Chilicola sp1 M_PL_072_04,Colletes sp1 M_PL_072_04,Discodon sp2 M_PL_072_04,Leioproctus indigoticus,Pampasatyrus gyrtone,Podagritus sp1 M_PL_072_04,Ruizantheda divaricata,Thespieus catochra,Unidentified sp10 M_PL_072_04,Unidentified sp3 M_PL_072_04,Villa sp1 M_PL_072_04,Augochloropsis sp1 M_PL_072_04,Bombus atratus,Campsomeris sp1 M_PL_072_04,Ceratina montana,Ceratina rupestris,Chauliognathus sp1 M_PL_072_04,Chlorostilbon aureoventris,Chrysodina sp1 M_PL_072_04,Cochliomyia macellaria,Colias lesbia,Colletes cyaneus,Discodon sp1 M_PL_072_04,Entypus ferruginipennis,Entypus sp1 M_PL_072_04,Gaesischia sp1 M_PL_072_04,Hedriodiscus pulcher,Leucospis sp1 M_PL_072_04,Megacyllene insignita,Melissoptila tandilensis,Palpada sp1 M_PL_072_04,Paramoecerus barbicornis,Strymon eurytulus,Unidentified sp11 M_PL_072_04,Unidentified sp13 M_PL_072_04,Unidentified sp14 M_PL_072_04,Unidentified sp2 M_PL_072_04,Unidentified sp5 M_PL_072_04,Unidentified sp8 M_PL_072_04
Achyrocline satureoides,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Eryngium stenophyllum,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Gerardia genistifolia,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Baccharis tandilensis,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
Foeniculum vulgare,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Lathyrus pubescens,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eupatorium bupleurifolium,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Senecio madagascariensis,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eupatorium macrocephalum,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colletia paradoxa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
