,Astylus quadrilineatus,Augochlora semiramis,Unidentified sp15 M_PL_072_05,Allograpta sp1 M_PL_072_05,Toxomerus sp1 M_PL_072_05,Unidentified sp1 M_PL_072_05,Apis mellifera,Euptoieta claudia hortensia,Lucilia sericata,Palpada sp1 M_PL_072_05,Vanessa sp1 M_PL_072_05,Camponotus sp1 M_PL_072_05,Chauliognathus scriptus,Cochliomyia macellaria,Platycheirus sp1 M_PL_072_05,Unidentified sp13 M_PL_072_05,Unidentified sp4 M_PL_072_05,Unidentified sp9 M_PL_072_05,Chilicola sp1 M_PL_072_05,Chrysodina sp1 M_PL_072_05,Colletes sp1 M_PL_072_05,Eudesmia australis,Lerodea eufala,Neochrysis sp1 M_PL_072_05,Parachytas sp1 M_PL_072_05,Trichopoda giacomelli,Unidentified sp12 M_PL_072_05,Unidentified sp18 M_PL_072_05,Unidentified sp2 M_PL_072_05,Unidentified sp3 M_PL_072_05,Xylocopa ciliata,Augochlorella ephyra,Bombus bellicosus,Campsomeris bistrimacula,Chauliognathus sp1 M_PL_072_05,Chlorion sp1 M_PL_072_05,Copestylum sp1 M_PL_072_05,Corticea immocerina,Dactylozodes sp1 M_PL_072_05,Dialictus sp1 M_PL_072_05,Discodon sp1 M_PL_072_05,Eristalinus taeniops,Eristalis tenax,Halictillus sp1 M_PL_072_05,Isodontia sp1 M_PL_072_05,Mischocyttarus drewseni,Polybia scutellaris,Prionyx sp1 M_PL_072_05,Pyrgus sp1 M_PL_072_05,Sceliphron asiaticum,Sphex sp1 M_PL_072_05,Stenodynerus sp1 M_PL_072_05,Strymon eurytulus,Synanthedom albicalcarata,Syritta sp1 M_PL_072_05,Tatochila autodice,Thespieus catochra,Unidentified sp10 M_PL_072_05,Unidentified sp11 M_PL_072_05,Unidentified sp14 M_PL_072_05,Unidentified sp16 M_PL_072_05,Unidentified sp17 M_PL_072_05,Unidentified sp5 M_PL_072_05,Unidentified sp6 M_PL_072_05,Unidentified sp7 M_PL_072_05,Unidentified sp8 M_PL_072_05,Villa sp1 M_PL_072_05
Eupatorium lanigerum,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1
Eryngium stenophyllum,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0
Senecio bravensis,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Baccharis coridifolia,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Senecio madagascariensis,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lathyrus pubescens,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eupatorium tenacetifolium,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Habranthus gracilifolius,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hysterionica pinifolia,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypochaeris rosengurtii,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achyrocline satureoides,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Habranthus andersoni,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxalis articulata,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sonchus oleraceus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cerastium mollissimum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gnaphalium cheirantifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Rodophiala bifidum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
