"","Manucodia keraudrenii","Diphyllodes magnificus","Paradisaea raggiana","Parotia lawesii","Lophorina superba","Manucodia chalybatus","Paradisaea rudolphi","Ptiloris magnificus","Epimachus albertisii"
"Ficus gul",155,8,45,12,1,25,1,0,0
"Homalanthus sp1 M_SD_002",4,104,75,10,17,0,23,8,0
"Gastonia sp1 M_SD_002",17,58,24,22,0,0,3,7,0
"Ficus odoardi",55,8,20,6,1,19,0,2,0
"Chisocheton sp1 M_SD_002",7,13,13,10,23,1,3,16,5
"Ficus 275",40,5,13,1,2,8,4,0,0
"Schefflera sp1 M_SD_002",0,2,0,47,0,0,10,1,0
"Dysoxylum sp1 M_SD_002",1,12,17,1,0,0,0,0,0
"Cissus hypoglauca",13,4,5,2,1,0,3,1,1
"Endospermum sp1 M_SD_002",2,15,2,2,9,0,0,0,0
"Elmerrillia sp1 M_SD_002",8,12,2,2,2,1,0,0,1
"Ficus 371",6,0,3,4,4,1,7,0,1
"Sloanea sogerensis",2,4,1,2,2,0,0,0,0
"Ficus 181",7,0,0,2,0,0,1,0,0
"Pandanus sp1 M_SD_002",0,5,2,0,2,0,1,0,0
"Syzygium sp1 M_SD_002",8,0,1,1,0,0,0,0,0
"Ficus 217",9,0,0,0,0,0,0,0,0
"Myristica sp1 M_SD_002",3,1,1,3,0,0,0,0,0
"Ficus 246",4,2,0,0,0,1,0,0,0
"Aglaia sp1 M_SD_002",0,0,3,1,0,0,0,0,0
"Ficus 202",2,1,0,0,0,1,0,0,0
"Zingiberaceae sp1 M_SD_002",0,2,0,0,0,1,1,0,0
"Cissus aristata",0,1,0,0,0,1,0,0,0
"Ficus drupacea",2,0,0,0,0,0,0,0,0
"Sloanea aberrans",0,2,0,0,0,0,0,0,0
"Uvaria sp1 M_SD_002",2,0,0,0,0,0,0,0,0
"Aporusa sp1 M_SD_002",0,0,0,0,1,0,0,0,0
"Canthium sp1 M_SD_002",0,1,0,0,0,0,0,0,0
"Glochidion sp1 M_SD_002",0,1,0,0,0,0,0,0,0
"Piper sp1 M_SD_002",1,0,0,0,0,0,0,0,0
"Sterculia sp1 M_SD_002",0,0,0,1,0,0,0,0,0
