"","Spindalis portoricensis ","Euphonia musica ","Nesospingus sp1 M_SD_004","Loxigilla portoricensis ","Vireo altiloquous ","Melanerpes portoricensis ","Columba squamosa ","Margarops fuscatus ","Tyrannus dominicensis ","Zenaida asiatica","Coereba flaveola ","Dendroica tigrina ","Vireo flavirostris ","Dendroica caerulescens ","Icterus dominicensis ","Myarchus antillarum ","Tiaris bicolor ","Todus mexicanus ","Tyrannus caudifasciatus ","Vireo latimeri "
"Phoradendron sp1 M_SD_004",10,55,3,9,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Schefflera morototoni ",56,1,4,1,3,0,5,1,4,0,1,1,0,0,0,0,0,0,1,0
"Cecropia schreberiana ",29,0,6,6,4,3,0,1,0,0,2,3,0,1,0,0,0,0,0,0
"Ficus sp1 M_SD_004",34,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Guarea guidonia ",0,0,5,17,14,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Cordia sulcata ",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alchornea latifolia ",3,0,0,14,3,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1
"Miconia serrulata ",6,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clusia rosea ",0,0,1,0,11,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0
"Anthurium scandens ",1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miconia affinis ",2,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Inga vera ",0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Musa acuminata ",1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Inga laurina ",4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendropemon bicolor ",0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myrcine coriacea ",0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syzigium jambos ",0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andira inermis ",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coffea arabica ",0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miconia racemosa ",0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palicourea guianensis ",0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tilandsia sp1 M_SD_004",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Buchenavia capitata ",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Casearia arborea ",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Citrus sinensis ",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendropanax arboreus ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Henriettea fascicularis ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Momordica charantia ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palicourea crocea ",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Philodendron angustatum ",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Piper sp1 M_SD_004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Solanum rugosum ",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp1 M_SD_004",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zanthoxylum martinicensis",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
