"","Spindalis portoricensis ","Loxigilla portoricensis ","Vireo altiloquous ","Turdus plumbeus ","Coereba flaveola ","Tyrannus dominicensis ","Nesospingus speculiferus","Melanerpes portoricensis ","Tyrannus caudifasciatus ","Columba squamosa ","Euphonia musica ","Icterus dominicensis ","Myarchus antillarum ","Vireo flavirostris ","Vireo latimeri "
"Cecropia schreberiana ",17,4,5,2,5,1,2,1,0,0,1,0,0,0,0
"Guarea guidonia ",0,13,5,0,0,1,0,1,2,0,0,0,1,1,0
"Schefflera morototoni ",7,0,0,4,1,4,0,0,0,0,0,0,0,0,0
"Alchornea latifolia ",0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
"Dendropanax arboreus ",1,3,0,1,0,0,0,0,0,0,0,0,0,0,0
"Ocotea floribunda ",0,0,0,3,0,1,0,0,0,1,0,0,0,0,0
"Inga vera ",0,1,1,0,2,0,0,0,0,0,0,0,0,0,0
"Ficus sp1 M_SD_006",1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Miconia prasina ",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"Musa acuminata ",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Phytolacca rivinoides ",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Tournefortia hisutissima ",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Casearia sylvestris ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Citrus sinensis ",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Coffea arabica ",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Miconia laevigatta ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Momordica charantia ",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Murraya paniculata ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Piper amalaga ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roystonea borinquena ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solanum rugosum ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
