"","Ptilinopus magnificus","Ptilinopus superbus","Macropygia amboinensis","Ptilinopus regina","Ducula spilorrhoa","Columba leucomela","Lopholaimus antarcticus"
"Neolitsea dealbata",1,1,1,1,0,1,0
"Ficus destruens",1,1,0,1,1,0,0
"Linociera ramiflora",1,1,0,1,1,0,0
"Litsea leefeana",1,1,0,1,0,1,0
"Tieghemopanax elegans",1,1,1,1,0,0,0
"Tieghemopanax murrayi",1,1,1,1,0,0,0
"Archontophoenix alexandrae",1,1,0,1,0,0,0
"Canarium australianum",1,1,0,0,1,0,0
"Cissus hypoglauca",1,1,1,0,0,0,0
"Cryptocarya hypospodia",1,1,0,0,1,0,0
"Cryptocarya mackinnoniana",1,1,0,0,0,0,1
"Cryptocarya sp1 M_SD_007",1,1,0,0,0,1,0
"Dysoxylum micranthum",1,1,1,0,0,0,0
"Elaeocarpus grahamii",1,1,1,0,0,0,0
"Elaeocarpus largiflorens",1,1,0,1,0,0,0
"Endiandra hypotephra",1,1,0,1,0,0,0
"Endiandra muelleri",1,1,0,1,0,0,0
"Ficus virens",1,1,0,0,1,0,0
"Kissodendron australianum",1,1,1,0,0,0,0
"Litsea bindoniana",1,1,1,0,0,0,0
"Myristica muelleri",1,1,0,0,1,0,0
"Notothixos subarueus",1,1,1,0,0,0,0
"Pothos loureirii",1,1,1,0,0,0,0
"Aceratium megalospermun",0,1,1,0,0,0,0
"Antirhea tenuiflora",1,1,0,0,0,0,0
"Cinnamomun laubatii",1,0,0,0,0,1,0
"Cissus sterculifolius",1,1,0,0,0,0,0
"Citronella emythii",1,1,0,0,0,0,0
"Dysoxylum oppositifolium",1,1,0,0,0,0,0
"Elaeocarpus grandis",1,1,0,0,0,0,0
"Eugenia johnsonii",1,1,0,0,0,0,0
"Eugenia sp1 M_SD_007",1,1,0,0,0,0,0
"Ficus leptoclada",1,1,0,0,0,0,0
"Flagellaria sp1 M_SD_007",1,1,0,0,0,0,0
"Glochidion ferdinandii",0,1,1,0,0,0,0
"Gomphandra australiana",1,0,0,0,1,0,0
"Hakea laurina",1,1,0,0,0,0,0
"Piper sp1 M_SD_007",1,1,0,0,0,0,0
"Symplocos etawellii",1,1,0,0,0,0,0
"Terminalia sericocarpa",1,1,0,0,0,0,0
"Tetrasynandra laxiflora",1,1,0,0,0,0,0
"Alphitonia whitei",0,1,0,0,0,0,0
"Breynia stipitata",0,0,1,0,0,0,0
"Calamus sp1 M_SD_007",0,1,0,0,0,0,0
"Cananga odorata",1,0,0,0,0,0,0
"Canthium coprosmoides",0,1,0,0,0,0,0
"Clerodendrum traceyanum",0,1,0,0,0,0,0
"Dendrophthoe falcata",0,0,0,1,0,0,0
"Dysoxylum sp1 M_SD_007",1,0,0,0,0,0,0
"Elaeocarpus arnhemicus",0,1,0,0,0,0,0
"Embelia sp1 M_SD_007",0,1,0,0,0,0,0
"Euodia xanthoxyloides",0,0,1,0,0,0,0
"Freycinetia excelsa",0,0,1,0,0,0,0
"Ganophyllum faloatum",0,0,0,1,0,0,0
"Gmelina fasciculiflora",1,0,0,0,0,0,0
"Helicia nortoniana",0,0,1,0,0,0,0
"Hibbertia scandens",0,0,1,0,0,0,0
"Homalanthus populifolius",0,0,1,0,0,0,0
"Hypaerpa decumbens",1,0,0,0,0,0,0
"Lantana camara",0,0,1,0,0,0,0
"Litsea glutinosa",0,0,0,0,1,0,0
"Melia asederach",1,0,0,0,0,0,0
"Morinda jasminioides",1,0,0,0,0,0,0
"Pilidiostigma tropicum",0,1,0,0,0,0,0
"Planchonella obovata",1,0,0,0,0,0,0
"Planchonella obovoidea",1,0,0,0,0,0,0
"Planchonella xerocarpa",0,0,1,0,0,0,0
"Rauwenhoffia leichardtii",0,1,0,0,0,0,0
"Solanum torvum",0,0,1,0,0,0,0
"Solanum viride",0,0,1,0,0,0,0
"Strychnos colubrina",1,0,0,0,0,0,0
"Symplocos paucistamineus",0,1,0,0,0,0,0
