"","Cholorocichla flaviventris","Pogoniulus bilineatus","Pycnonotus barbatus","Buccanodon leucotis","Unidentified sp1 M_SD_008","Zosterops pallidus","Bycanistes buccinator","Lumprocolius corruscus","Andropadus importunus","Tauraco porphyrocephalus"
"Ficus vogelii",270,86,151,259,32,65,173,22,11,11
"Bridelia micrantha",123,6,114,12,12,6,0,3,12,12
"Halleria lucida",26,44,23,13,125,13,0,16,0,0
"Ficus natalensis",25,116,25,15,13,28,5,8,0,18
"Apodytes dimidiata",164,30,3,0,20,10,0,20,5,0
"Trema orientalis",9,92,13,0,44,53,0,4,4,0
"Dovyalis longispina",57,27,57,2,0,6,0,12,27,8
"Sideroxylon inerme",112,38,0,4,6,0,0,2,25,4
"Trichilia emetica",83,41,10,0,0,0,2,29,3,2
"Vepris undulata",47,62,0,0,11,13,0,0,26,0
"Erianthemum dregei",0,141,0,0,9,0,0,0,0,0
"Euclea natalensis",51,27,8,8,4,0,0,0,2,3
"Antidesma venosum",4,36,11,3,11,18,0,0,1,2
"Ekebergia capensis",7,5,1,14,0,6,10,12,1,13
"Strelitzia nicholai",0,10,26,5,0,0,0,0,0,0
"Mimusops caffra",11,3,3,0,0,0,0,3,0,5
