"","Tangara gyrola","Ramphocelus carbo","Tangara mexicana","Euphonia violacea","Chlorophanes spiza","Thraupis palmarum","Tachyphonus rufus","Dacnis cayana","Thraupis episcopus","Cyanerpes caeruleus","Tangara guttata","Cyanerpes cyaneus","Coereba flaveola ","Tachyphonus luctuosus"
"Miconia sp1 M_SD_010",127,153,74,17,80,35,23,52,17,11,40,20,12,5
"Cecropia peltata",72,17,31,0,5,18,18,3,26,0,3,0,4,0
"Trema micrantha",39,1,11,29,34,1,3,13,2,27,12,11,3,0
"Ficus clusiifolia",48,0,17,7,12,11,3,1,8,3,2,5,8,0
"Didymopanax morototoni",13,5,1,0,2,49,0,4,33,0,0,0,1,0
"Alchornea glandulosa",13,0,0,0,13,14,0,16,1,11,9,0,0,0
"Protium heptaphyllum",6,2,13,5,4,12,9,4,9,0,0,0,0,1
"Unidentified sp2 M_SD_010",2,0,10,29,6,0,3,2,0,3,0,0,1,0
"Aechmaea nudicaulis",0,0,0,38,0,0,7,0,0,0,0,0,0,0
"Gravisia aquilega",0,14,0,0,0,0,29,0,0,0,0,0,0,0
"Clidemia sp1 M_SD_010",2,27,0,3,0,0,9,0,0,0,0,0,0,0
"Rhipsalis sp1 M_SD_010",0,0,2,32,0,1,0,0,0,0,0,0,6,0
"Hieronyma caribaea",14,0,3,0,5,0,1,4,0,1,4,0,1,0
"Cordia curassavica",0,18,7,0,0,0,1,0,2,0,0,0,1,0
"Sapium aucuparium",1,0,0,0,2,0,0,12,0,1,2,3,8,0
"Cordia bicolor",5,0,3,0,0,5,4,0,5,0,0,0,5,0
"Anthurium scandens ",0,0,0,19,0,0,3,0,0,0,0,0,0,4
"Laetia procera",0,5,8,0,0,3,1,7,1,0,0,0,0,0
"Sloanea stipilata",7,2,0,0,0,1,4,2,1,0,1,4,2,1
"Ficus citrifolia",15,0,4,3,0,0,2,0,0,0,0,0,0,0
"Ilex sp1 M_SD_010",3,1,20,0,0,0,0,0,0,0,0,0,0,0
"Chiococca alba",1,0,15,1,3,0,0,0,0,0,0,0,0,0
"Clusia sp1 M_SD_010",0,0,0,0,3,0,0,2,0,14,0,1,0,0
"Piper sp1 M_SD_010",0,0,0,9,0,0,0,0,10,0,0,0,0,0
"Coussarea paniculata",0,5,0,1,0,2,4,0,6,0,0,0,0,0
"Lacistema aggregatum",3,1,5,0,1,2,0,2,1,0,0,0,0,0
"Ficus tobagensis",4,3,2,3,1,0,0,0,0,0,0,0,0,0
"Doliocarpus dentatus",0,0,0,0,0,3,0,1,3,0,0,5,0,0
"Myrcia leptoclada",11,0,0,1,0,0,0,0,0,0,0,0,0,0
"Byrsonima spicata",10,0,0,0,0,0,0,1,0,0,0,0,0,0
"Anthurium gracile",0,1,0,4,0,0,4,0,0,0,0,0,0,0
"Calycolpus glaber",0,2,1,0,0,2,0,1,2,0,0,0,1,0
"Cupania sp1 M_SD_010",0,0,0,0,0,0,0,0,0,0,0,8,1,0
"Wulffia baccata",1,2,0,0,0,0,0,2,0,4,0,0,0,0
"Davilla aspera",0,5,0,0,0,1,1,0,0,0,0,0,0,0
"Eugenia baileyi",0,0,3,0,0,3,0,0,1,0,0,0,0,0
"Psidium guajava",0,4,3,0,0,0,0,0,0,0,0,0,0,0
"Castilla elastica",0,1,0,0,0,0,0,0,5,0,0,0,0,0
"Myrcia sp1 M_SD_010",0,0,3,0,0,0,0,0,0,2,1,0,0,0
"Henriettea sp1 M_SD_010",1,2,0,0,0,0,2,0,0,0,0,0,0,0
"Isertia parviflora",0,2,0,0,0,0,3,0,0,0,0,0,0,0
"Solanum sp1 M_SD_010",2,3,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp1 M_SD_010",0,2,0,0,0,0,3,0,0,0,0,0,0,0
"Aechmaea mertensii",0,2,0,0,0,0,2,0,0,0,0,0,0,0
"Rourea surinamensis",0,0,0,0,1,0,0,2,0,0,0,0,1,0
"Aechmaea dichlamydea",0,2,0,0,0,0,1,0,0,0,0,0,0,0
"Aegiphilia integrifolia",2,0,1,0,0,0,0,0,0,0,0,0,0,0
"Norantea guianensis",1,0,0,0,0,0,0,2,0,0,0,0,0,0
"Phytolacca rivinoides ",0,1,0,0,0,1,1,0,0,0,0,0,0,0
"Psychotria sp1 M_SD_010",2,0,0,0,0,0,0,0,0,0,1,0,0,0
