"","Parus palustris","Turdus merula","Columba palumbus","Parus caeruleus","Turdus philomelos","Erithacus rubecula","Pyrrhula pyrrhula","Sylvia atricapilla","Turdus iliacus","Fringilla coelebs","Parus major","Sitta europaea","Turdus pilaris","Aegithalos caudatus"
"Sambucus nigra",1,1,1,1,1,1,1,1,1,1,1,1,0,0
"Bryonia dioica",1,0,0,1,0,0,1,0,0,1,1,0,0,0
"Crataegus monogyna",0,1,1,0,1,0,0,0,1,0,0,0,1,0
"Hedera helix",0,1,1,0,1,1,0,1,0,0,0,0,0,0
"Rubus sp1 M_SD_011",1,1,0,1,1,0,1,0,0,0,0,0,0,0
"Euonymus europaeus",1,1,0,0,0,1,0,0,0,0,0,0,0,1
"Prunus spinosa",0,1,0,0,0,0,0,0,1,0,0,0,1,0
"Solanum dulcamara",1,0,0,0,0,0,0,1,0,0,0,1,0,0
"Lonicera periclymenum",1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Rosa sp1 M_SD_011",0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Tamus communis",1,0,0,0,0,0,0,0,0,0,0,0,0,0
