"","Sarcops calvus","Ducula bicolor","Ptilinopus occipitalis","Ducula poliocephala","Penelopides panini","Phapitreron leucotis","Chalcophaps indica","Hypsipetes philippinus","Ptenochirus jagori","Pycnonotus goiavier","Cynopterus brachyotis","Macropygia phasianella","Zosterops nigrorum","Rhabdornis mysticalis","Streptopelia chinensis","Oriolus chinensis","Aceros waldeni","Megalaima haemacephala","Sus cebifrons"
"Bischhofia javanica",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0
"Ficus heteropleura",1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0
"Strebus glaber",1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0
"Macaranga bicolor",1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0
"Macaranga tanarius",1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0
"Grewia multiflora",1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0
"Guioa pleuropteris",1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0
"Mallotus molissima",1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0
"Syzygium sp2 M_SD_013",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Syzygium sp3 M_SD_013",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Homalanthus alpinus",1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0
"Microcus stylocarpa",1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Syzygium garciae ",0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0
"Dillenia reifferscheidia",0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"Platea excelsa",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Homalanthus rotundifolius",1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
"Prunus fragrans",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canarium asperum",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elaeocarpus cumingii",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Litsea luzonica",1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Litsea quericoides",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palaquium sp1 M_SD_013",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp1 M_SD_013",0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Unidentified sp2 M_SD_013",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Memexylon lanceolatum",0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"Ternstroemia megacarpa",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"Ficus congesta",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Ficus heteropoda",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Ficus septica",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Ficus sp1 M_SD_013",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Ficus variegata",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Pometia pinnata",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Aglaia sp1 M_SD_013",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Garcinia busungaensis",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Lithocarpus sp1 M_SD_013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Myristica ceylanica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
