"","Calorhamphus fuliginosus","Irene puella","Megalaima chrysopogon","Calyptomena viridis","Chloropsis sonnerati","Megalaima australis","Treron curvirostra","Megalaima mystacophanos","Anthracoceros malayanus","Hypsipetes charlottae","Megalaima henricii","Pycnonotus brunneus","Chloropsis cyanopogon","Prionochilus percussus","Pycnonotus eutilotus","Buceros rhinoceros","Criniger phaeocephalus","Dicaeum chrysorrherum","Pycnonotus cyaniventris","Treron capellei","Gracula religiosa","Pycnonotus erythropthalmos","Pycnonotus simplex","Anorrhinus galeritus","Criniger bres","Prionochilus maculatus","Rhinoplax vigil","Oriolus xanthonotus","Alcippe brunneicauda","Loriculus galgulus","Pycnonotus atriceps","Criniger finschii","Ptilinopus jambu","Rhyticeros corrugatus","Chloropsis cochinchinensis","Hypsipetes criniger","Treron olax","Corvus enca","Dicaeum agile","Hypsipetes malaccensis","Lophura ignita","Chalcophaps indica","Dicaeum concolor","Ducula badia","Melanochlora sultanea","Platysmurus leucopterus","Pycnonotus goavier","Zoothera interpres","Anthracoceros albirostris","Coracina striata","Dicaeum ignipectus","Dicaeum trigonostigma","Harpactes diardi","Hypsipetes flavala","Pycnonotus finlaysoni","Pycnonotus melanoleucos","Pycnonotus plumosus","Pycnonotus squamatus","Pycnonotus zeylanicus","Treron fulvicollis","Turdus obscurus"
"Ficus pellucido-punctata",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Ficus caulocarpa",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ficus binnendykii",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Ficus pisocarpa",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Ficus crassiramea",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ficus stupenda",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Ficus kerkhovenii",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ficus delosyce",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ficus obscura",1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Ficus trichocarpa",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
