"","Mandrillus sphinx","Cercocebus albigena","Cercopithecus nictitans","Cercopithecus cephus","Gorilla gorilla","Cercopithecus pogonias","Pan troglodytes","Colobus satanas"
"Ficus sp1 M_SD_017",1,1,1,1,1,1,1,0
"Pseudospondias longifolia",1,1,1,1,1,1,1,0
"Elaeis guineensis",1,1,1,1,0,1,1,0
"Tetrapleura tetraptera",1,1,1,1,0,1,0,1
"Berlinia bracteosa",0,1,1,1,0,1,0,1
"Pycnanthus angolensis",0,1,1,1,0,1,1,0
"Unidentified sp1 M_SD_017",1,0,1,1,1,0,1,0
"Xylopia sp1 M_SD_017",1,1,1,1,0,1,0,0
"Detarium macrocarpum",1,0,1,1,1,0,0,0
"Duboscia macrocarpa",1,1,0,0,1,0,1,0
"Pentadesma butyracea",0,0,1,1,1,0,0,1
"Milicia excelsa",0,1,1,0,1,0,0,0
"Ongokea gore",1,1,0,0,0,0,0,1
"Pentaclethra sp1 M_SD_017",1,1,0,0,0,0,0,1
"Unidentified sp2 M_SD_017",1,0,0,0,1,0,1,0
"Marantochloa sp1 M_SD_017",1,0,0,0,1,0,0,0
