"","Turdus viscivorus","Phoenicurus ochruros","Turdus merula","Fringilla coelebs","Turdus torquatus","Parus ater","Turdus iliacus","Erithacus rubecula","Sylvia communis","Sylvia atricapilla","Garrulus glandarius","Phoenicurus phoenicurus","Turdus pilaris","Coccothraustes coccothraustes","Parus major","Columba palumbus","Parus caeruleus","Parus cristatus","Corvus corone","Sylvia melanocephala","Sitta europaea","Sylvia cantillans","Dendrocopos major","Serinus serinus","Pica pica","Sylvia borin","Turdus philomelos","Loxia curvirostra","Serinus citinella","Sylvia conspicillata","Corvus corax","Ficedula hypoleuca","Emberiza cia"
"Prunus mahaleb",829,941,583,783,0,391,0,175,182,62,135,111,0,3,41,55,61,37,19,35,33,32,21,18,0,8,0,0,6,2,0,1,0
"Crataegus monogyna",121,0,111,68,375,4,152,2,0,6,13,0,74,67,27,12,7,3,10,0,1,0,0,0,13,0,6,4,0,0,2,0,1
"Juniperus phoenicea",115,0,10,0,183,0,2,0,0,0,4,0,8,8,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Berberis vulgaris",10,22,26,12,95,0,37,16,0,8,0,2,12,0,8,0,4,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"Hedera helix",8,1,141,2,2,0,7,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rosa canina",22,0,50,0,58,0,9,0,0,0,0,0,19,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
"Lonicera arborea",1,2,7,5,66,8,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Juniperus sabina",8,0,4,0,62,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taxus baccata",5,16,10,0,11,0,6,5,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Juniperus communis",13,0,11,0,9,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daphne laureola",0,0,0,5,0,0,0,1,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhamnus myrtifolius",0,9,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rubus ulmifolius",2,2,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"Sorbus aria",0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amelanchier ovalis",0,1,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arum italicum",0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prunus prostrata",0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhamnus saxatilis",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rubia peregrina",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cotoneaster granatensis",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Juniperus oxycedrus",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lonicera splendida",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lonicera etrusca",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paeonia officinalis",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polygonatum odoratum",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
