"","Chiroxiphia caudata","Carpornis cucullatus","Turdus albicollis","Tachyphonus coronatus","Turdus rufiventris","Penelope obscura","Trichothraupis melanops","Thraupis cyanoptera","Euphonia pectoralis","Tangara cyanocephala","Thraupis ornata","Platycichla flavipes","Selenidera maculirostris","Baillonius bailloni","Cacicus haemorrhous","Philander frenata","Stephanophorus diadematus","Tityra cayana","Lipaugus lanioides","Sturnira lilium","Tangara desmaresti","Tangara seledon","Mionectes rufiventris","Myiodynastes maculatus","Ramphastos dicolorus","Schiffornis virescens","Habia rubica","Ilicura militaris","Pipile jacutinga","Saltator similis","Trogon surrucura","Trogon viridis","Cerdocyon thous","Cissopis leveriana","Orthogonys chloricterus","Carollia perspicillata","Columba plumbea","Hemithraupis ruficapilla","Vireo chivi","Cebus apella","Dacnis cayana","Trogon rufus","Oxyruncus cristatus","Myiarchus swainsoni","Orchesticus abeillei","Procnias nudicollis","Thraupis sayaca","Euphonia violacea","Pyroderus scutatus","Sturnira tildae","Artibeus fimbriatus","Celeus flavescens","Elaenia mesoleuca","Pyrrhura frontalis","Alouatta fusca","Artibeus lituratus","Artibeus sp1 M_SD_022","Brotogeris tirica","Hylophilus poicilotis","Megarynchus pitangua","Melanerpes flavifrons","Pachyramphus validus","Atilla rufus","Brachyteles aracnoides","Didelphis aurita","Elaenia obscura","Tapirus terrestris","Tyrannus melancholicus","Baryphthengus ruficapillus","Elaenia flavogaster","Empidonomus varius","Micoureus demerarae","Pitangus sulphuratus","Sciurus aestuans ","Tachyphonus cristatus","Tinamus solitarius","Turdus amaurochalinus","Turdus leucomelas","Cacicus chrysopterus","Haplospiza unicolor","Mazama sp1 M_SD_022","Mimus saturninus","Pachyramphus castaneus","Pitylus fuliginosus","Tityra inquisitor","Vampyressa pusilla","Artibeus jamaicensis","Artibeus obscurus","Coereba flaveola ","Colaptes campestris","Conopias trivirgata","Eira barbara","Forpus xanthopterygius","Icterus cayanensis","Laniisoma elegans","Marmosops paulensis","Myiopagis caniceps","Neopelma aurifrons","Odontophorus capueira","Phibalura flavirostris","Phyllomyias fasciatus","Phylloscartes oustaleti","Pionus maximiliani","Platyrrhinus lineatus","Platyrrhinus sp1 M_SD_022","Pygoderma bilabiatum","Tangara peruviana","Triclaria malachitacea","Turdus subalaris","Veniliornis spilogaster"
"Myrsine coriacea",1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ficus luschnatiana",1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coussapoa microcarpa",1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myrsine lancifolia",1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Cecropia glaziovi",1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Cupania vernalis",1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Miconia pusilliflora",1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trema micrantha",1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Symplocos glanduloso-marginata",1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Miconia budlejoides",1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
