"","Hypsipetes amaurotis","Turdus pallidus","Sphenurus formosae","Zosterops japonica","Columba janthina","Turdus chrysolaus","Ficedula narcissina","Turdus dauma"
"Symplocos prunifolia",2,1,2,1,0,1,1,0
"Cleyera japonica",1,2,1,1,1,0,0,1
"Eurya japonica",2,1,2,2,0,0,0,0
"Schefflera octophylla",2,2,0,1,2,0,0,0
"Myrsine sguinii",2,2,0,2,0,0,0,0
"Daphniphyllum teijsmannii",2,0,0,0,1,2,0,0
"Myrica rubra",1,0,2,0,1,0,0,0
"Ardisia sieboldii",1,2,0,0,0,0,0,0
"Litsea acuminata",3,0,0,0,0,0,0,0
"Vaccinium bracteatum",0,3,0,0,0,0,0,0
"Neolitsea aciculata",2,0,0,0,0,0,0,0
"Persea thunbergii",2,0,0,0,0,0,0,0
"Diospyros morrisiana",0,0,1,0,0,0,0,0
"Prunus jamasakura",1,0,0,0,0,0,0,0
"Taxillus yadoriki",1,0,0,0,0,0,0,0
