"","Turdus merula","Turdus iliacus","Erithacus rubecula","Garrulus glandarius","Sylvia atricapilla","Turdus viscivorus","Turdus philomelos"
"Hedera helix",1,1,1,0,0,1,1
"Ilex aquifolium",1,1,1,1,0,1,0
"Unidentified sp1 M_SD_024",1,1,1,1,1,0,0
"Solanum nigrum",1,1,1,0,1,0,0
"Sorbus aucuparia",1,1,0,0,0,1,1
"Unidentified sp2 M_SD_024",1,0,1,1,0,1,0
"Fragaria vespa",1,0,1,0,1,0,0
"Rosa sp1 M_SD_024",1,1,0,1,0,0,0
"Vaccinium myrtillus",1,0,0,0,1,0,1
"Prunus spinosa",1,0,0,1,0,0,0
"Taxus bacatta",0,0,0,1,0,0,0
"Unidentified sp3 M_SD_024",0,1,0,0,0,0,0
