"","Turdus merula","Sylvia atricapilla","Fringilla coelebs","Erithacus rubecula","Pyrrhula murina","Serinus serinus","Carduelis carduelis","Regulus regulus"
Number of droppings analysed",200,86,251,71,112,50,12,203
"Leycesteria formosa",18,31,20,11,7,0,0,1
"Juniperus brevifolia",28,1,0,0,0,0,0,0
"Duchesnea indica",15,9,0,1,0,1,0,0
"Vaccinium cylindraceum",16,6,0,2,0,0,0,0
"Ilex perado",23,0,0,0,0,0,0,0
"Rubus ulmifolius",5,7,0,0,0,0,0,0
"Cerastium sp1 M_SD_031",1,0,7,0,0,3,0,0
"Pittosporum undulatum",2,5,2,0,0,0,0,0
"Morella faya",3,5,0,0,0,0,0,0
"Potentilla erecta",3,2,2,0,1,0,0,0
"Solanum nigrum",0,2,5,1,0,0,0,0
"Fragaria vesca",3,4,0,0,0,0,0,0
"Acacia melanoxylon",1,3,1,0,0,0,0,0
"Clethra arborea",2,0,2,0,0,0,1,0
"Hedera azorica",1,4,0,0,0,0,0,0
"Unidentified sp1 M_SD_031",2,3,0,0,0,0,0,0
"Hedychium gardneranum",1,3,0,0,0,0,0,0
"Juncus effusus",0,1,1,0,2,0,0,0
"Laurus azorica",4,0,0,0,0,0,0,0
"Bellis perennis",2,0,1,0,0,0,0,0
"Hypericum humifusum",0,0,0,0,3,0,0,0
"Myrsine africana",1,2,0,0,0,0,0,0
"Calluna vulgaris",1,1,0,0,0,0,0,0
"Carex viridula",0,0,2,0,0,0,0,0
"Holcus lanatus",0,0,0,0,0,2,0,0
"Lotus pedunculatus",0,0,2,0,0,0,0,0
"Aphanes microcarpa",0,0,1,0,0,0,0,0
"Carex vulcani",0,0,1,0,0,0,0,0
"Centaurium erythraea",1,0,0,0,0,0,0,0
"Conyza bonariensis",0,0,0,0,0,1,0,0
"Cryptomeria japonica",1,0,0,0,0,0,0,0
"Epilobium parviflorum",0,0,1,0,0,0,0,0
"Persicaria capitata",0,0,1,0,0,0,0,0
"Sonchus tenerrimus",0,0,0,0,0,0,1,0
"Unidentified sp2 M_SD_031",1,0,0,0,0,0,0,0
"Unidentified sp3 M_SD_031",0,0,1,0,0,0,0,0
"Unidentified sp4 M_SD_031",0,0,1,0,0,0,0,0
"Unidentified sp5 M_SD_031",0,0,1,0,0,0,0,0
"Unidentified sp6 M_SD_031",0,0,0,0,0,1,0,0
"Unidentified sp7 M_SD_031",0,0,0,0,1,0,0,0
"Viburnum tinus",1,0,0,0,0,0,0,0
